,sicdescription,sic_level,num_firms,total_market_cap,gvkeys,marketcap_id
0,AGRICULTURAL PRODUCTION CROPS,100,10,313094533.02,"[35168, 30443, 157875, 10390, 165510, 29962, 1266, 35967, 40016, 21287]",all
5,AMUSEMENT AND RECREATION SERVICES,7900,46,4233695512.4738,"[243174, 36404, 165746, 21808, 14418, 161844, 125240, 149318, 39351, 24861, 24481, 64344, 3028, 39648, 13710, 26361, 36977, 60923, 30259, 37623, 245918, 28704, 186392, 51380, 32918, 27187, 200480, 39276, 43188, 41948, 36550, 117036, 27186, 27240, 50991, 37855, 27251, 50302, 45397, 60807, 43757, 40015, 28749, 31006, 182172, 45502]",all
8,APPAREL AND ACCESSORY STORES,5600,21,2245484465.89,"[11672, 18675, 4990, 9248, 29150, 21898, 63643, 39310, 30059, 25234, 45506, 2436, 27938, 162988, 163051, 187163, 65430, 24171, 5109, 30435, 2818]",all
11,APPAREL AND OTHER FINISHED PRODUCTS MADE FROM FABRICS AND SIMILAR MATERIALS,2300,26,1529337508.994,"[178015, 64891, 43862, 11060, 105936, 198058, 111486, 165052, 35035, 8551, 16476, 175319, 150278, 10840, 19402, 8219, 38770, 30560, 63447, 37258, 14447, 45564, 33476, 19175, 10198, 38065]",all
14,AUTOMOTIVE DEALERS AND GASOLINE SERVICE STATIONS,5500,27,4163874375.1150002,"[30999, 28180, 23809, 64410, 18498, 145977, 65718, 9063, 64175, 27373, 19071, 63847, 144640, 39159, 65831, 111103, 43104, 13602, 35153, 176343, 36906, 312066, 63000, 35451, 174185, 37997, 17291]",all
17,"AUTOMOTIVE REPAIR, SERVICES, AND PARKING",7500,12,473770973.51,"[3278, 9299, 5600, 126474, 24350, 37751, 38936, 1393, 38198, 50458, 33049, 37839]",all
20,BUILDING CONSTRUCTION GENERAL CONTRACTORS AND OPERATIVE BUILDERS,1500,23,1940887798.1490002,"[6669, 25340, 8823, 16653, 12459, 12395, 14790, 12689, 258869, 5750, 12615, 22047, 18004, 18629, 37793, 29755, 43784, 37782, 45266, 45802, 45753, 31617, 41956]",all
26,BUSINESS SERVICES,7300,584,169159709276.3402,"[170617, 12141, 160329, 36910, 12142, 111534, 45097, 38212, 35604, 6066, 171007, 51139, 12635, 37453, 160225, 23650, 157855, 187118, 339965, 37136, 27364, 12540, 39960, 24616, 7163, 26494, 146738, 27928, 66009, 33175, 35182, 51461, 171067, 39538, 24975, 40413, 32526, 37420, 148170, 35620, 1891, 4384, 66065, 37966, 23546, 26367, 33037, 24925, 13824, 35013, 21847, 27885, 38087, 112111, 13421, 15044, 37871, 16721, 184700, 39524, 60849, 183377, 111864, 63172, 185881, 18689, 23071, 64630, 18869, 4423, 30091, 35005, 183974, 139665, 1878, 36898, 186904, 329579, 33195, 23238, 30736, 19484, 121077, 21002, 36758, 62965, 38646, 4066, 24071, 66368, 176092, 141913, 33301, 34919, 126056, 38931, 35447, 24638, 19044, 45281, 9225, 176928, 11811, 26746, 10789, 165993, 6136, 40292, 63185, 12568, 37512, 18699, 109826, 187697, 36494, 2596, 186278, 38188, 38822, 41545, 43515, 26061, 15704, 165123, 190455, 38329, 174077, 170655, 38708, 65605, 105811, 125595, 174310, 43081, 34243, 32878, 20116, 15855, 162449, 24035, 19730, 35868, 17001, 39687, 45551, 177983, 36273, 333070, 66326, 33152, 162385, 37517, 36945, 37076, 38777, 38041, 187039, 22000, 39554, 3336, 37596, 38107, 18626, 62266, 19877, 38881, 111880, 36717, 2312, 74615, 35158, 63290, 26749, 18683, 34300, 51497, 38927, 38681, 22638, 64901, 19753, 177528, 61870, 35627, 39378, 36711, 28420, 41640, 36691, 14370, 24083, 32930, 39547, 38954, 43288, 39963, 39555, 20088, 51266, 39621, 36218, 33759, 37382, 39942, 41570, 64302, 65986, 36463, 39457, 34101, 332179, 118267, 19908, 11745, 18630, 39408, 31564, 35288, 199356, 34955, 74382, 36293, 196268, 178796, 8599, 45768, 31091, 25749, 178310, 24352, 356257, 3382, 39810, 8334, 36964, 39539, 32884, 60791, 21864, 28590, 7183, 38771, 7882, 38412, 35211, 50621, 32541, 39550, 38739, 39070, 260893, 50290, 38832, 31460, 185375, 37428, 1410, 35377, 23818, 36051, 38747, 39589, 39914, 183581, 28384, 39818, 33694, 122902, 147242, 43198, 177744, 19649, 122172, 7648, 35120, 7161, 37953, 37414, 27803, 39992, 6013, 37023, 39157, 39103, 2536, 24135, 179507, 31236, 144520, 120048, 35222, 60793, 39048, 38403, 156153, 37148, 38350, 74362, 35354, 35922, 45223, 24501, 9551, 39069, 25201, 28410, 38722, 35614, 19849, 174302, 38915, 38757, 62213, 37790, 61179, 33693, 37752, 63596, 32502, 176523, 32571, 39056, 30280, 29155, 184392, 184263, 37866, 51119, 144437, 39787, 38744, 64929, 39867, 33603, 39111, 38545, 124036, 30622, 61461, 39124, 50248, 39107, 23464, 164532, 60787, 133766, 121759, 39805, 34910, 19802, 22320, 37188, 38858, 20540, 36754, 164660, 23607, 43211, 39309, 33638, 125074, 144396, 38647, 33233, 39182, 164312, 45098, 41214, 19767, 35490, 37510, 6379, 18556, 181290, 41539, 2578, 39910, 35743, 51596, 37574, 38992, 38360, 17754, 34610, 38100, 37895, 28719, 38924, 43533, 33159, 37846, 36641, 135965, 105394, 177111, 26630, 126318, 317637, 122175, 14113, 50883, 65021, 40672, 25138, 42244, 111629, 27977, 38662, 112820, 36598, 29275, 40084, 22864, 61080, 176021, 45707, 24901, 35391, 149721, 31457, 39295, 40528, 65587, 347085, 37824, 132602, 40534, 2504, 43754, 32935, 36383, 37214, 176251, 21984, 22207, 174428, 41502, 39240, 38308, 147849, 37775, 170311, 74444, 34076, 37750, 345764, 45655, 39552, 41641, 37025, 39661, 133869, 38328, 28862, 34038, 165923, 39434, 150562, 39294, 50620, 8661, 340388, 166593, 39025, 63417, 116166, 29064, 23949, 20143, 38445, 41426, 34613, 39355, 187122, 38259, 177734, 39901, 39575, 39895, 41690, 39476, 43220, 39199, 187357, 37550, 50435, 37191, 36335, 45320, 37787, 8892, 37212, 21663, 34482, 137943, 50266, 20801, 39311, 41685, 39557, 35399, 27318, 37526, 43788, 41427, 40291, 35345, 107446, 16972, 36950, 186464, 34766, 62057, 62723, 39885, 41498, 30998, 40757, 25302, 37669, 39248, 166226, 34584, 37138, 51859, 297443, 40208, 43284, 23226, 27656, 38040, 101944, 40008, 36348, 39564, 61836, 36003, 37610, 141887, 348615, 66402, 126020, 125601, 39835, 270615, 178882, 39054, 177943, 19033, 39426, 51517, 35762, 37562, 39566, 36863, 40261, 25367, 32995, 38491, 180345, 61321, 36089, 41936, 63454, 63476, 200264, 64673, 38596, 2573, 179363, 294508, 43857, 65460, 34036, 65540, 41461, 22040, 40660, 36737, 31244, 40485, 37039, 37601, 37671]",all
27,BUSINESS SERVICES - Large Cap,7300,116,158660009810.94,"[170617, 12141, 160329, 36910, 12142, 111534, 45097, 38212, 35604, 6066, 171007, 51139, 12635, 37453, 160225, 23650, 157855, 187118, 339965, 37136, 27364, 12540, 39960, 24616, 7163, 26494, 146738, 27928, 66009, 33175, 35182, 51461, 171067, 39538, 24975, 40413, 32526, 37420, 148170, 35620, 1891, 4384, 66065, 37966, 23546, 26367, 33037, 24925, 13824, 35013, 21847, 27885, 38087, 112111, 13421, 15044, 37871, 16721, 184700, 39524, 60849, 183377, 111864, 63172, 185881, 18689, 23071, 64630, 18869, 4423, 30091, 35005, 183974, 139665, 1878, 36898, 186904, 329579, 33195, 23238, 30736, 19484, 121077, 21002, 36758, 62965, 38646, 4066, 24071, 66368, 176092, 141913, 33301, 34919, 126056, 38931, 35447, 24638, 19044, 45281, 9225, 176928, 11811, 26746, 10789, 165993, 6136, 40292, 63185, 12568, 37512, 18699, 109826, 187697, 36494, 2596]",large_cap
28,BUSINESS SERVICES - Small Cap,7300,116,36111211.3079,"[20143, 38445, 41426, 34613, 39355, 187122, 38259, 177734, 39901, 39575, 39895, 41690, 39476, 43220, 39199, 187357, 37550, 50435, 37191, 36335, 45320, 37787, 8892, 37212, 21663, 34482, 137943, 50266, 20801, 39311, 41685, 39557, 35399, 27318, 37526, 43788, 41427, 40291, 35345, 107446, 16972, 36950, 186464, 34766, 62057, 62723, 39885, 41498, 30998, 40757, 25302, 37669, 39248, 166226, 34584, 37138, 51859, 297443, 40208, 43284, 23226, 27656, 38040, 101944, 40008, 36348, 39564, 61836, 36003, 37610, 141887, 348615, 66402, 126020, 125601, 39835, 270615, 178882, 39054, 177943, 19033, 39426, 51517, 35762, 37562, 39566, 36863, 40261, 25367, 32995, 38491, 180345, 61321, 36089, 41936, 63454, 63476, 200264, 64673, 38596, 2573, 179363, 294508, 43857, 65460, 34036, 65540, 41461, 22040, 40660, 36737, 31244, 40485, 37039, 37601, 37671]",small_cap
