,sicdescription,sic_level,num_firms,total_market_cap,gvkeys,marketcap_id
5,APPAREL AND ACCESSORY STORES,5600,14,2327953080.32,"[11672, 9248, 63643, 30059, 29150, 4990, 25234, 2436, 27938, 163051, 162988, 5109, 24171, 65430]",all
8,APPAREL AND OTHER FINISHED PRODUCTS MADE FROM FABRICS AND SIMILAR MATERIALS,2300,12,1980174175.78,"[178015, 111486, 64891, 11060, 8551, 150278, 10840, 165052, 105936, 63447, 8219, 19402]",all
11,AUTOMOTIVE DEALERS AND GASOLINE SERVICE STATIONS,5500,13,1347011204.1299999,"[28180, 23809, 64410, 65718, 64175, 9063, 145977, 63847, 144640, 65831, 111103, 13602, 176343]",all
17,BUILDING CONSTRUCTION GENERAL CONTRACTORS AND OPERATIVE BUILDERS,1500,10,3586304895.5299997,"[6669, 25340, 8823, 12459, 12395, 12689, 14790, 12615, 5750, 29755]",all
21,BUSINESS SERVICES,7300,93,54628677434.36,"[160329, 12141, 111534, 12142, 24975, 157855, 160225, 12540, 27928, 6066, 7163, 1891, 12635, 16721, 4066, 13421, 139665, 66065, 1878, 64630, 24925, 4423, 176092, 121077, 125595, 13824, 111864, 66368, 63172, 112111, 165993, 141913, 10789, 176928, 18699, 165123, 9225, 11811, 2596, 26061, 162385, 63185, 15855, 109826, 65605, 177983, 174077, 111880, 15704, 2312, 174310, 64901, 178310, 63290, 7648, 162449, 31564, 118267, 61870, 25749, 28590, 65986, 64302, 21864, 24352, 14370, 122172, 8599, 62266, 120048, 3336, 260893, 144520, 1410, 2536, 7161, 122902, 177744, 156153, 31460, 7882, 61179, 164660, 144396, 6379, 25201, 147849, 126318, 63417, 2504, 135965, 176523, 22207]",all
22,BUSINESS SERVICES - Large Cap,7300,18,47620897853.909996,"[160329, 12141, 111534, 12142, 24975, 157855, 160225, 12540, 27928, 6066, 7163, 1891, 12635, 16721, 4066, 13421, 139665, 66065]",large_cap
23,BUSINESS SERVICES - Small Cap,7300,18,100492415.48,"[7161, 122902, 177744, 156153, 31460, 7882, 61179, 164660, 144396, 6379, 25201, 147849, 126318, 63417, 2504, 135965, 176523, 22207]",small_cap
24,CHEMICALS AND ALLIED PRODUCTS,2800,87,22073890285.309002,"[6730, 6266, 7257, 8530, 8762, 25124, 1602, 23812, 24856, 24197, 2403, 9667, 16582, 3170, 29751, 24344, 264265, 4213, 24468, 1209, 61567, 163946, 4060, 3026, 29127, 8247, 3121, 121440, 162129, 160684, 151630, 24040, 162254, 1794, 122257, 133885, 62921, 29392, 15414, 5608, 6078, 8902, 8123, 24782, 7637, 4462, 162401, 4510, 29955, 24302, 25937, 162335, 20185, 2593, 30137, 16453, 133468, 141846, 11012, 110566, 14269, 11234, 1979, 14309, 4926, 13971, 7526, 61655, 28194, 160668, 160340, 61399, 176022, 63405, 10056, 25870, 6528, 1864, 64028, 61519, 63863, 163113, 133868, 133871, 12915, 62169, 1585]",all
25,CHEMICALS AND ALLIED PRODUCTS - Large Cap,2800,17,16252107226.79,"[6730, 6266, 7257, 8530, 8762, 25124, 1602, 23812, 24856, 24197, 2403, 9667, 16582, 3170, 29751, 24344, 264265]",large_cap
26,CHEMICALS AND ALLIED PRODUCTS - Small Cap,2800,17,85154651.929,"[160340, 61399, 176022, 63405, 10056, 25870, 6528, 1864, 64028, 61519, 63863, 163113, 133868, 133871, 12915, 62169, 1585]",small_cap
28,COMMUNICATIONS,4800,22,5239655476.12,"[3980, 9899, 164296, 2136, 3226, 179202, 2884, 30662, 2137, 64088, 9215, 10411, 147204, 4988, 160549, 14369, 60800, 14535, 12485, 9664, 24844, 24708]",all
32,DEPOSITORY INSTITUTIONS,6000,118,11148005578.355,"[2968, 7647, 8007, 5786, 4723, 11856, 2019, 4674, 8245, 9783, 4640, 15706, 4699, 4690, 15633, 7982, 14219, 15582, 2002, 4737, 15576, 139025, 3231, 29282, 11861, 65228, 163920, 11842, 15580, 64547, 11687, 3643, 17150, 175263, 24232, 64536, 115876, 18049, 3238, 15581, 118042, 63781, 61452, 17095, 65106, 136265, 10916, 150306, 14172, 19713, 13041, 24447, 16832, 164633, 30222, 2005, 17145, 29101, 17248, 19355, 17132, 16821, 22086, 18329, 64794, 25173, 23500, 17184, 17151, 176766, 150279, 20019, 16790, 17195, 16889, 22717, 28022, 66235, 19570, 19094, 4685, 19318, 16781, 18732, 16845, 30932, 61487, 120318, 18241, 62979, 16981, 16777, 63232, 19817, 117141, 25751, 28155, 63135, 15199, 61585, 14253, 16705, 17240, 119414, 31368, 17245, 17106, 19428, 18276, 19873, 19262, 20109, 178834, 161853, 26071, 16668, 105538, 112721]",all
33,DEPOSITORY INSTITUTIONS - Large Cap,6000,23,8977057971.83,"[2968, 7647, 8007, 5786, 4723, 11856, 2019, 4674, 8245, 9783, 4640, 15706, 4699, 4690, 15633, 7982, 14219, 15582, 2002, 4737, 15576, 139025, 3231]",large_cap
34,DEPOSITORY INSTITUTIONS - Small Cap,6000,23,77468372.55499999,"[25751, 28155, 63135, 15199, 61585, 14253, 16705, 17240, 119414, 31368, 17245, 17106, 19428, 18276, 19873, 19262, 20109, 178834, 161853, 26071, 16668, 105538, 112721]",small_cap
35,EATING AND DRINKING PLACES,5800,18,4241208403.32,"[7154, 25434, 165914, 65417, 31846, 160211, 3007, 160376, 164471, 25737, 3708, 3570, 28397, 19398, 3424, 63739, 13092, 148470]",all
41,"ELECTRIC, GAS, AND SANITARY SERVICES",4900,64,11078349082.65,"[4517, 14477, 8539, 9850, 4093, 4029, 8272, 1440, 8151, 11506, 112168, 7977, 8264, 3413, 6135, 165649, 11550, 8810, 7366, 8099, 135990, 3439, 8455, 14027, 3897, 7970, 4383, 9846, 10860, 5742, 7974, 11554, 110732, 6338, 10671, 24216, 10801, 5870, 2259, 1075, 8113, 8542, 160913, 65702, 7733, 12428, 7437, 9890, 8807, 6867, 8001, 11304, 9849, 6547, 7849, 9324, 8199, 5526, 2986, 2628, 6932, 7993, 7368, 62618]",all
42,"ELECTRIC, GAS, AND SANITARY SERVICES - Large Cap",4900,12,5388292846.49,"[4517, 14477, 8539, 9850, 4093, 4029, 8272, 1440, 8151, 11506, 112168, 7977]",large_cap
43,"ELECTRIC, GAS, AND SANITARY SERVICES - Small Cap",4900,12,204459802.01000002,"[9849, 6547, 7849, 9324, 8199, 5526, 2986, 2628, 6932, 7993, 7368, 62618]",small_cap
44,"ELECTRONIC AND OTHER ELECTRICAL EQUIPMENT AND COMPONENTS, EXCEPT COMPUTER EQUIPMENT",3600,79,76377943437.36,"[117768, 1690, 1161, 7343, 6008, 1632, 137310, 24800, 10499, 14282, 112158, 4199, 7585, 175404, 160888, 64356, 177267, 134932, 9203, 3532, 27965, 30170, 28195, 175982, 5764, 1327, 16597, 64853, 110039, 9599, 139804, 9016, 11465, 25274, 27794, 163118, 28139, 146017, 25747, 10008, 16401, 61562, 8699, 61356, 29241, 160893, 7875, 66032, 133288, 66393, 24795, 11191, 21238, 3969, 28940, 1823, 12945, 175955, 142814, 4881, 30576, 23084, 13200, 5572, 25430, 9216, 166368, 2577, 154039, 31843, 66686, 7291, 21743, 6527, 8348, 61153, 65590, 3358, 27828]",all
45,"ELECTRONIC AND OTHER ELECTRICAL EQUIPMENT AND COMPONENTS, EXCEPT COMPUTER EQUIPMENT - Large Cap",3600,15,71175190434.66,"[117768, 1690, 1161, 7343, 6008, 1632, 137310, 24800, 10499, 14282, 112158, 4199, 7585, 175404, 160888]",large_cap
46,"ELECTRONIC AND OTHER ELECTRICAL EQUIPMENT AND COMPONENTS, EXCEPT COMPUTER EQUIPMENT - Small Cap",3600,15,71930694.51,"[25430, 9216, 166368, 2577, 154039, 31843, 66686, 7291, 21743, 6527, 8348, 61153, 65590, 3358, 27828]",small_cap
47,"ENGINEERING, ACCOUNTING, RESEARCH, MANAGEMENT, AND RELATED SERVICES",8700,18,3217053256.19,"[143357, 8402, 110620, 12441, 6216, 147988, 137131, 24783, 62823, 23027, 30536, 31752, 31477, 161997, 174637, 111000, 64061, 141359]",all
50,"FABRICATED METAL PRODUCTS, EXCEPT MACHINERY AND TRANSPORTATION EQUIPMENT",3400,21,1765796726.64,"[143912, 8358, 3619, 30260, 7085, 1988, 25964, 9778, 3580, 12445, 11094, 64389, 166482, 5987, 1926, 133367, 10124, 64254, 1686, 7762, 115757]",all
53,FOOD AND KINDRED PRODUCTS,2000,36,7342182813.06,"[8479, 3144, 142953, 24316, 28877, 5568, 6375, 5071, 5597, 2435, 10793, 9777, 2663, 7146, 5709, 3362, 1722, 3505, 144435, 20338, 12756, 66016, 3138, 30651, 4809, 12785, 61581, 12825, 163983, 6573, 24463, 158743, 10609, 12761, 29517, 29609]",all
65,HEALTH SERVICES,8000,14,1729027538.74,"[7241, 64166, 11032, 14960, 7750, 61483, 12589, 2960, 164652, 61325, 23714, 7741, 5539, 25318]",all
71,HOLDING AND OTHER INVESTMENT OFFICES,6700,100,7806424567.15,"[105365, 5543, 138743, 113490, 29984, 10096, 110179, 30822, 160991, 29389, 29875, 121382, 178997, 65556, 62374, 13125, 64821, 9273, 28733, 30293, 29649, 10504, 66354, 64925, 160479, 7063, 10894, 64766, 27875, 24731, 25633, 29359, 6100, 161966, 65290, 30067, 28629, 65615, 29099, 28322, 4605, 63422, 160990, 12140, 65710, 11301, 162354, 30384, 162160, 29052, 11220, 4193, 64306, 266315, 30298, 28323, 24291, 24620, 160541, 5862, 3562, 24825, 8692, 29868, 28340, 175307, 160706, 61163, 30637, 25665, 5149, 178862, 15101, 135788, 24533, 1257, 160233, 30490, 61129, 13562, 4045, 65640, 177216, 14592, 27780, 266257, 145024, 124046, 13580, 8148, 157452, 9346, 28769, 164155, 61188, 8493, 7279, 61004, 174926, 163884]",all
72,HOLDING AND OTHER INVESTMENT OFFICES - Large Cap,6700,20,5062625293.25,"[105365, 5543, 138743, 113490, 29984, 10096, 110179, 30822, 160991, 29389, 29875, 121382, 178997, 65556, 62374, 13125, 64821, 9273, 28733, 30293]",large_cap
73,HOLDING AND OTHER INVESTMENT OFFICES - Small Cap,6700,20,64454361.32,"[4045, 65640, 177216, 14592, 27780, 266257, 145024, 124046, 13580, 8148, 157452, 9346, 28769, 164155, 61188, 8493, 7279, 61004, 174926, 163884]",small_cap
76,INDUSTRIAL AND COMMERCIAL MACHINERY AND COMPUTER EQUIPMENT,3500,66,14171679997.42,"[1704, 11399, 20779, 6565, 2817, 14489, 3835, 5959, 150937, 6268, 3650, 5606, 61591, 5878, 122380, 4058, 13570, 7486, 30098, 5860, 137573, 8463, 15267, 102696, 24405, 10016, 10618, 7921, 2444, 25180, 4108, 21542, 10581, 5252, 63892, 164557, 5087, 6737, 25922, 137602, 65009, 8606, 27960, 7991, 10991, 6509, 14954, 6386, 119574, 1706, 16710, 11124, 10441, 142956, 30847, 142260, 12262, 11636, 65671, 28295, 14898, 62221, 5237, 6994, 9919, 4497]",all
77,INDUSTRIAL AND COMMERCIAL MACHINERY AND COMPUTER EQUIPMENT - Large Cap,3500,13,10727402542.73,"[1704, 11399, 20779, 6565, 2817, 14489, 3835, 5959, 150937, 6268, 3650, 5606, 61591]",large_cap
78,INDUSTRIAL AND COMMERCIAL MACHINERY AND COMPUTER EQUIPMENT - Small Cap,3500,13,57809687.72,"[142956, 30847, 142260, 12262, 11636, 65671, 28295, 14898, 62221, 5237, 6994, 9919, 4497]",small_cap
82,INSURANCE CARRIERS,6300,56,9080656181.72,"[10903, 13341, 2547, 145046, 28034, 27914, 28349, 14822, 1487, 62689, 1449, 145552, 152149, 61739, 133768, 143356, 61302, 61406, 61388, 14828, 6781, 12726, 12909, 153130, 28216, 14824, 124042, 10614, 165264, 157057, 6742, 61408, 24379, 8431, 13342, 21503, 11729, 133289, 157955, 17115, 25895, 158354, 12603, 2558, 10086, 17035, 176591, 24678, 24440, 148469, 17252, 157353, 164572, 16428, 13561, 176973]",all
83,INSURANCE CARRIERS - Large Cap,6300,11,6198540947.7,"[10903, 13341, 2547, 145046, 28034, 27914, 28349, 14822, 1487, 62689, 1449]",large_cap
84,INSURANCE CARRIERS - Small Cap,6300,11,68077845.10000001,"[17035, 176591, 24678, 24440, 148469, 17252, 157353, 164572, 16428, 13561, 176973]",small_cap
90,"MEASURING, ANALYZING, AND CONTROLLING INSTRUMENTS; PHOTOGRAPHIC, MEDICAL AND OPTICAL GOODS; WATCHES AND CLOCKS",3800,63,14132175661.85,"[10530, 3735, 1078, 6304, 136725, 14561, 7228, 10115, 25279, 10453, 7985, 2111, 4321, 162887, 31887, 5492, 126554, 3504, 177227, 1598, 138205, 144559, 141384, 133366, 141459, 126721, 25313, 2086, 61574, 65772, 119275, 20904, 138483, 4145, 126423, 177881, 22815, 30312, 65607, 10407, 24021, 29133, 7420, 23224, 16188, 63186, 1968, 21777, 27810, 2220, 13700, 140073, 148390, 25110, 13623, 27823, 3158, 61181, 264387, 28118, 7951, 28380, 176670]",all
91,"MEASURING, ANALYZING, AND CONTROLLING INSTRUMENTS; PHOTOGRAPHIC, MEDICAL AND OPTICAL GOODS; WATCHES AND CLOCKS - Large Cap",3800,12,7845090863.07,"[10530, 3735, 1078, 6304, 136725, 14561, 7228, 10115, 25279, 10453, 7985, 2111]",large_cap
92,"MEASURING, ANALYZING, AND CONTROLLING INSTRUMENTS; PHOTOGRAPHIC, MEDICAL AND OPTICAL GOODS; WATCHES AND CLOCKS - Small Cap",3800,12,183609472.86,"[140073, 148390, 25110, 13623, 27823, 3158, 61181, 264387, 28118, 7951, 28380, 176670]",small_cap
93,METAL MINING,1000,21,6307294608.7,"[2055, 7881, 14590, 20670, 1186, 5560, 108768, 3153, 8644, 105861, 10385, 24370, 106112, 61811, 62337, 123455, 26768, 26539, 20600, 106203, 9728]",all
100,MISCELLANEOUS RETAIL,5900,18,13334177183.939999,"[64768, 178081, 150139, 178704, 114524, 6733, 15520, 11511, 24157, 175900, 14624, 24430, 147868, 166213, 122519, 62501, 174147, 65406]",all
104,MOTOR FREIGHT TRANSPORTATION AND WAREHOUSING,4200,12,1799802101.22,"[10920, 24617, 5783, 65609, 150481, 30861, 21440, 1743, 12266, 29206, 12625, 12840]",all
107,NON-DEPOSITORY CREDIT INSTITUTIONS,6100,13,2789864505.235,"[3243, 1447, 30990, 4601, 25339, 143974, 155738, 121815, 156953, 24725, 10121, 150477, 63639]",all
113,OIL AND GAS EXTRACTION,1300,32,5393519125.57,"[8549, 27786, 9465, 16478, 4430, 14934, 8068, 29453, 5439, 15055, 1678, 20548, 11781, 112876, 28338, 7620, 6788, 120093, 142337, 29135, 26013, 29108, 5581, 1661, 8079, 21237, 65006, 8901, 61759, 160341, 20695, 164046]",all
120,PETROLEUM REFINING AND RELATED INDUSTRIES,2900,11,3810556226.2499995,"[4503, 2991, 15247, 2771, 15070, 5667, 166563, 5903, 178672, 8850, 165846]",all
124,PRIMARY METAL INDUSTRIES,3300,16,1132249556.82,"[2787, 3107, 8030, 64030, 10405, 15343, 3246, 62516, 5496, 29131, 24293, 2448, 11600, 4498, 61635, 15459]",all
139,"SECURITY AND COMMODITY BROKERS, DEALERS, EXCHANGES, AND SERVICES",6200,33,8583184465.23,"[114628, 12124, 13988, 124434, 149070, 177088, 163610, 176701, 178507, 149337, 164708, 8898, 2369, 12138, 29804, 10035, 158742, 6682, 65886, 145701, 174744, 4885, 11770, 160373, 144496, 31521, 8605, 66731, 9317, 162559, 127377, 266214, 13453]",all
