,industry_name,key,num_firms,total_market_cap,gvkeys,marketcap_id
1,Aircraft,24,13,4640685623.47,"[2285.0, 5047.0, 10983.0, 5046.0, 148349.0, 11580.0, 176362.0, 3662.0, 5567.0, 10519.0, 164494.0, 7549.0, 4091.0]",all
7,Apparel,10,18,3790135577.81,"[7906.0, 178015.0, 111486.0, 29015.0, 140541.0, 64891.0, 164755.0, 11060.0, 8551.0, 150278.0, 10840.0, 29382.0, 165052.0, 11566.0, 105936.0, 63447.0, 8219.0, 19402.0]",all
10,Automobiles and Trucks,23,21,2627352315.2505,"[5073.0, 4839.0, 8253.0, 28742.0, 6946.0, 4036.0, 11721.0, 10549.0, 64690.0, 5234.0, 14311.0, 3734.0, 4608.0, 5116.0, 11796.0, 11537.0, 117861.0, 24720.0, 28408.0, 9919.0, 17828.0]",all
13,Banking,44,131,13937870083.59,"[2968.0, 7647.0, 3243.0, 8007.0, 1447.0, 30990.0, 5786.0, 4723.0, 11856.0, 2019.0, 4674.0, 8245.0, 9783.0, 4640.0, 15706.0, 4699.0, 4690.0, 15633.0, 7982.0, 14219.0, 15582.0, 2002.0, 4737.0, 15576.0, 4601.0, 139025.0, 3231.0, 29282.0, 11861.0, 65228.0, 163920.0, 11842.0, 15580.0, 64547.0, 11687.0, 3643.0, 17150.0, 175263.0, 24232.0, 64536.0, 115876.0, 18049.0, 3238.0, 15581.0, 25339.0, 118042.0, 63781.0, 61452.0, 17095.0, 65106.0, 143974.0, 136265.0, 10916.0, 150306.0, 14172.0, 19713.0, 13041.0, 24447.0, 16832.0, 164633.0, 30222.0, 2005.0, 17145.0, 29101.0, 17248.0, 19355.0, 17132.0, 16821.0, 22086.0, 155738.0, 18329.0, 64794.0, 25173.0, 23500.0, 17184.0, 121815.0, 17151.0, 176766.0, 150279.0, 20019.0, 16790.0, 17195.0, 16889.0, 22717.0, 156953.0, 24725.0, 28022.0, 66235.0, 19570.0, 10121.0, 19094.0, 4685.0, 19318.0, 16781.0, 18732.0, 16845.0, 30932.0, 61487.0, 120318.0, 18241.0, 62979.0, 16981.0, 16777.0, 63232.0, 19817.0, 117141.0, 25751.0, 28155.0, 63135.0, 15199.0, 61585.0, 14253.0, 150477.0, 16705.0, 17240.0, 119414.0, 31368.0, 17245.0, 17106.0, 19428.0, 18276.0, 19873.0, 19262.0, 20109.0, 63639.0, 178834.0, 161853.0, 26071.0, 16668.0, 105538.0, 112721.0]",all
14,Banking - Large Cap,44,26,11520263741.73,"[2968.0, 7647.0, 3243.0, 8007.0, 1447.0, 30990.0, 5786.0, 4723.0, 11856.0, 2019.0, 4674.0, 8245.0, 9783.0, 4640.0, 15706.0, 4699.0, 4690.0, 15633.0, 7982.0, 14219.0, 15582.0, 2002.0, 4737.0, 15576.0, 4601.0, 139025.0]",large_cap
15,Banking - Small Cap,44,26,89944992.255,"[117141.0, 25751.0, 28155.0, 63135.0, 15199.0, 61585.0, 14253.0, 150477.0, 16705.0, 17240.0, 119414.0, 31368.0, 17245.0, 17106.0, 19428.0, 18276.0, 19873.0, 19262.0, 20109.0, 63639.0, 178834.0, 161853.0, 26071.0, 16668.0, 105538.0, 112721.0]",small_cap
19,Business Services,34,101,56587210760.21,"[160329.0, 12141.0, 111534.0, 12142.0, 24975.0, 157855.0, 143357.0, 160225.0, 12540.0, 27928.0, 6066.0, 7163.0, 1891.0, 12635.0, 16721.0, 8402.0, 4066.0, 13421.0, 139665.0, 66065.0, 1878.0, 64630.0, 24925.0, 4423.0, 176092.0, 125595.0, 111864.0, 66368.0, 63172.0, 110620.0, 12441.0, 112111.0, 6216.0, 147988.0, 165993.0, 141913.0, 137131.0, 18699.0, 9225.0, 11811.0, 26061.0, 162385.0, 63185.0, 15855.0, 65605.0, 177983.0, 174077.0, 111880.0, 15704.0, 24783.0, 2312.0, 174310.0, 62823.0, 64901.0, 178310.0, 63290.0, 7648.0, 162449.0, 23027.0, 30536.0, 31752.0, 31564.0, 118267.0, 61870.0, 25749.0, 28590.0, 65986.0, 164086.0, 64302.0, 24352.0, 14370.0, 31477.0, 122172.0, 8599.0, 62266.0, 120048.0, 3336.0, 260893.0, 144520.0, 1410.0, 2536.0, 7161.0, 161997.0, 174637.0, 177744.0, 156153.0, 31460.0, 111000.0, 7882.0, 61179.0, 164660.0, 144396.0, 6379.0, 25201.0, 147849.0, 126318.0, 64061.0, 63417.0, 141359.0, 176523.0, 22207.0]",all
20,Business Services - Large Cap,34,20,49482978159.64,"[160329.0, 12141.0, 111534.0, 12142.0, 24975.0, 157855.0, 143357.0, 160225.0, 12540.0, 27928.0, 6066.0, 7163.0, 1891.0, 12635.0, 16721.0, 8402.0, 4066.0, 13421.0, 139665.0, 66065.0]",large_cap
21,Business Services - Small Cap,34,20,121003818.04,"[7161.0, 161997.0, 174637.0, 177744.0, 156153.0, 31460.0, 111000.0, 7882.0, 61179.0, 164660.0, 144396.0, 6379.0, 25201.0, 147849.0, 126318.0, 64061.0, 63417.0, 141359.0, 176523.0, 22207.0]",small_cap
28,Chemicals,14,35,5063075640.440001,"[25124.0, 9667.0, 16582.0, 29751.0, 1209.0, 163946.0, 4060.0, 8247.0, 162129.0, 160684.0, 162254.0, 1794.0, 29392.0, 5608.0, 6078.0, 8902.0, 8123.0, 4462.0, 162401.0, 4510.0, 20185.0, 2593.0, 11012.0, 110566.0, 11234.0, 1979.0, 4926.0, 13971.0, 28194.0, 25870.0, 6528.0, 1864.0, 61519.0, 163113.0, 1585.0]",all
32,Communication,32,22,5239655476.12,"[3980.0, 9899.0, 164296.0, 2136.0, 3226.0, 179202.0, 2884.0, 30662.0, 2137.0, 64088.0, 9215.0, 10411.0, 147204.0, 4988.0, 160549.0, 14369.0, 60800.0, 14535.0, 12485.0, 9664.0, 24844.0, 24708.0]",all
35,Computers,35,25,6182250351.24,"[11399.0, 20779.0, 14489.0, 150937.0, 5606.0, 121077.0, 13824.0, 61591.0, 10789.0, 176928.0, 165123.0, 102696.0, 24405.0, 2596.0, 109826.0, 8606.0, 10991.0, 21864.0, 119574.0, 122902.0, 16710.0, 30847.0, 11636.0, 2504.0, 135965.0]",all
38,Construction,18,20,5047730937.46,"[6669.0, 25340.0, 64997.0, 66446.0, 8823.0, 2497.0, 6223.0, 4115.0, 12459.0, 12395.0, 4818.0, 21429.0, 12689.0, 14790.0, 12615.0, 8486.0, 5750.0, 29755.0, 148223.0, 23195.0]",all
