,,AGRICULTURAL PRODUCTION CROPS,AMUSEMENT AND RECREATION SERVICES,APPAREL AND ACCESSORY STORES,APPAREL AND OTHER FINISHED PRODUCTS MADE FROM FABRICS AND SIMILAR MATERIALS,AUTOMOTIVE DEALERS AND GASOLINE SERVICE STATIONS,"AUTOMOTIVE REPAIR, SERVICES, AND PARKING",BUILDING CONSTRUCTION GENERAL CONTRACTORS AND OPERATIVE BUILDERS,BUSINESS SERVICES,BUSINESS SERVICES - Large Cap,BUSINESS SERVICES - Small Cap,CHEMICALS AND ALLIED PRODUCTS,CHEMICALS AND ALLIED PRODUCTS - Large Cap,CHEMICALS AND ALLIED PRODUCTS - Small Cap,COMMUNICATIONS,COMMUNICATIONS - Large Cap,COMMUNICATIONS - Small Cap,CONSTRUCTION SPECIAL TRADE CONTRACTORS,DEPOSITORY INSTITUTIONS,DEPOSITORY INSTITUTIONS - Large Cap,DEPOSITORY INSTITUTIONS - Small Cap,EATING AND DRINKING PLACES,EDUCATIONAL SERVICES,"ELECTRIC, GAS, AND SANITARY SERVICES","ELECTRIC, GAS, AND SANITARY SERVICES - Large Cap","ELECTRIC, GAS, AND SANITARY SERVICES - Small Cap","ELECTRONIC AND OTHER ELECTRICAL EQUIPMENT AND COMPONENTS, EXCEPT COMPUTER EQUIPMENT","ELECTRONIC AND OTHER ELECTRICAL EQUIPMENT AND COMPONENTS, EXCEPT COMPUTER EQUIPMENT - Large Cap","ELECTRONIC AND OTHER ELECTRICAL EQUIPMENT AND COMPONENTS, EXCEPT COMPUTER EQUIPMENT - Small Cap","ENGINEERING, ACCOUNTING, RESEARCH, MANAGEMENT, AND RELATED SERVICES","ENGINEERING, ACCOUNTING, RESEARCH, MANAGEMENT, AND RELATED SERVICES - Large Cap","ENGINEERING, ACCOUNTING, RESEARCH, MANAGEMENT, AND RELATED SERVICES - Small Cap","FABRICATED METAL PRODUCTS, EXCEPT MACHINERY AND TRANSPORTATION EQUIPMENT","FABRICATED METAL PRODUCTS, EXCEPT MACHINERY AND TRANSPORTATION EQUIPMENT - Large Cap","FABRICATED METAL PRODUCTS, EXCEPT MACHINERY AND TRANSPORTATION EQUIPMENT - Small Cap",FOOD AND KINDRED PRODUCTS,FOOD AND KINDRED PRODUCTS - Large Cap,FOOD AND KINDRED PRODUCTS - Small Cap,FOOD STORES,FURNITURE AND FIXTURES,GENERAL MERCHANDISE STORES,HEALTH SERVICES,HEALTH SERVICES - Large Cap,HEALTH SERVICES - Small Cap,HEAVY CONSTRUCTION OTHER THAN BUILDING CONSTRUCTION CONTRACTORS,HOLDING AND OTHER INVESTMENT OFFICES,HOLDING AND OTHER INVESTMENT OFFICES - Large Cap,HOLDING AND OTHER INVESTMENT OFFICES - Small Cap,"HOTELS, ROOMING HOUSES, CAMPS, AND OTHER LODGING PLACES",INDUSTRIAL AND COMMERCIAL MACHINERY AND COMPUTER EQUIPMENT,INDUSTRIAL AND COMMERCIAL MACHINERY AND COMPUTER EQUIPMENT - Large Cap,INDUSTRIAL AND COMMERCIAL MACHINERY AND COMPUTER EQUIPMENT - Small Cap,"INSURANCE AGENTS, BROKERS, AND SERVICE",INSURANCE CARRIERS,INSURANCE CARRIERS - Large Cap,INSURANCE CARRIERS - Small Cap,"LUMBER AND WOOD PRODUCTS, EXCEPT FURNITURE","MEASURING, ANALYZING, AND CONTROLLING INSTRUMENTS; PHOTOGRAPHIC, MEDICAL AND OPTICAL GOODS; WATCHES AND CLOCKS","MEASURING, ANALYZING, AND CONTROLLING INSTRUMENTS; PHOTOGRAPHIC, MEDICAL AND OPTICAL GOODS; WATCHES AND CLOCKS - Large Cap","MEASURING, ANALYZING, AND CONTROLLING INSTRUMENTS; PHOTOGRAPHIC, MEDICAL AND OPTICAL GOODS; WATCHES AND CLOCKS - Small Cap",METAL MINING,METAL MINING - Large Cap,METAL MINING - Small Cap,"MINING AND QUARRYING OF NONMETALLIC MINERALS, EXCEPT FUELS",MISCELLANEOUS MANUFACTURING INDUSTRIES,MISCELLANEOUS RETAIL,MISCELLANEOUS RETAIL - Large Cap,MISCELLANEOUS RETAIL - Small Cap,MOTION PICTURES,MOTOR FREIGHT TRANSPORTATION AND WAREHOUSING,NON-DEPOSITORY CREDIT INSTITUTIONS,NON-DEPOSITORY CREDIT INSTITUTIONS - Large Cap,NON-DEPOSITORY CREDIT INSTITUTIONS - Small Cap,NONCLASSIFIABLE ESTABLISHMENTS,NONCLASSIFIABLE ESTABLISHMENTS - Large Cap,NONCLASSIFIABLE ESTABLISHMENTS - Small Cap,OIL AND GAS EXTRACTION,OIL AND GAS EXTRACTION - Large Cap,OIL AND GAS EXTRACTION - Small Cap,PAPER AND ALLIED PRODUCTS,PERSONAL SERVICES,PETROLEUM REFINING AND RELATED INDUSTRIES,PRIMARY METAL INDUSTRIES,"PRINTING, PUBLISHING, AND ALLIED INDUSTRIES",REAL ESTATE,RUBBER AND MISCELLANEOUS PLASTICS PRODUCTS,"SECURITY AND COMMODITY BROKERS, DEALERS, EXCHANGES, AND SERVICES","SECURITY AND COMMODITY BROKERS, DEALERS, EXCHANGES, AND SERVICES - Large Cap","SECURITY AND COMMODITY BROKERS, DEALERS, EXCHANGES, AND SERVICES - Small Cap","STONE, CLAY, GLASS, AND CONCRETE PRODUCTS",TRANSPORTATION BY AIR,TRANSPORTATION EQUIPMENT,TRANSPORTATION EQUIPMENT - Large Cap,TRANSPORTATION EQUIPMENT - Small Cap,TRANSPORTATION SERVICES,WATER TRANSPORTATION,WATER TRANSPORTATION - Large Cap,WATER TRANSPORTATION - Small Cap,WHOLESALE TRADE-DURABLE GOODS,WHOLESALE TRADE-DURABLE GOODS - Large Cap,WHOLESALE TRADE-DURABLE GOODS - Small Cap,WHOLESALE TRADE-NON-DURABLE GOODS
Beta,Alpha,0.0027502643959763755,0.01340899138252205,0.00803016639231598,0.004256516687150962,0.014727779888334812,0.011694542499326083,0.016025506574138745,0.009512634468633933,0.011161963990538794,0.08169350870625304,0.002433748636623255,0.004957667335231443,0.07449426235302858,0.004695151952751223,0.004933642757250195,0.0031263653067271553,0.018114901650158242,0.0072460874510509735,0.0075587386345156386,0.0013170784324709958,0.008036856657066565,0.0006564725754700632,0.005726374100419093,0.008566310331757658,-0.018940719980799173,0.008227065185820967,0.008541667403101295,0.19019474949419532,0.0071293329566220025,0.008660595277540725,-0.024270637962581776,0.00773557202754464,0.010311962620356828,0.012068421432858818,0.0022193321079725364,0.002044839127769427,0.009115574768373538,-0.0016598502771699342,0.007749132419500935,0.005400386952466349,0.008282535632185974,0.009664968556080763,0.1201878142080944,0.006139203728029671,0.005239707719504785,0.006011163067274944,0.00416814019354515,0.011802431573646603,0.007907453913378862,0.009751334050255163,0.10238872576245485,0.0118536717453561,0.006973576020137992,0.006060116340029476,-0.017513458550116386,0.003948177196601551,0.008398904354255676,0.00597819609720414,0.11874847702874301,0.0060956293871609855,0.0069693241955120205,-0.003838295238672403,0.00781625568160084,0.0018293318636476176,0.013351349654831979,0.014448352031161828,0.009692475464926166,0.026468255861103174,0.004171612268841982,0.025831972061991403,0.029858860737942264,0.00454419387671275,0.007091694438307003,0.006918340352685098,0.005672006940707499,0.006086063626682615,0.004694228809926198,-0.021035579415495626,0.004646025205544359,0.001820258171380024,0.004735286544048785,0.005447045785249732,0.00634214546600062,0.01473398609191616,0.004028083267357754,0.00964018581153826,0.011424023436301776,0.006532952096792329,0.010277121095580101,0.012192062880476147,0.010191752613825593,0.009386620921788307,0.04669156034862112,0.01658737664151278,0.0102322483054217,0.01313888237262219,0.1360854418836273,0.0061169536318042275,0.007588465544331011,-0.022479099451489393,0.011921862301279203
Beta,CMA,0.4835531776884532,0.1252944699437169,0.3227248910198181,0.43998866119604635,-0.24251848436755158,0.7173502768428253,-0.4226232874254832,0.08863974254751383,0.09932979011070242,-3.2845204256019582,-0.213588845447273,-0.08361325983108908,2.504344817150743,-0.3112605189426716,-0.12960979407611514,1.1201284320866316,0.22743364693194115,-0.07400790101237442,-0.08311259241977367,0.03593508192399924,0.1686630348531473,0.18309633902313227,0.09426751648970595,-0.00532920509036019,-0.4723312883881683,0.44572146159831294,0.4898359498042758,-8.154366810645659,0.21818645238860213,0.1952257726577031,0.4753745937727533,0.3125579431219543,0.25769192283964576,-0.8611942732966443,0.04835559964452361,0.12546573998687785,-0.18992170729759236,0.6291339577498855,-0.22474753864865546,0.20566218271571068,0.05611410211320621,0.2904774089242547,4.815819446867625,0.1013050457118133,0.19973447663251775,0.25529058042544045,-0.3494832663574533,-0.15722435685137504,0.030538516248641515,0.0567699596158905,-13.527668526699065,0.3939549119839164,-0.01972107766267142,0.06024582973693389,-0.20281438125737633,0.3255992320561199,-0.13261465915623716,0.1197144899253626,-8.619245517099856,0.2625814287108589,0.25860251083493907,0.5907598009588102,0.17852734529557301,0.23836058219255826,0.4450960936202751,0.4962114613578993,-0.01705064445586864,0.3244980743567464,-0.14978542301383074,-1.920276261452164,-2.0961515308742515,-1.099477063893834,0.15832239321680208,0.15619335287199115,0.14961885649910497,-0.15266572895506395,-0.19889429634715106,-0.09345671888840076,-0.009454595599339038,0.1085943519580643,0.22713999876422808,0.9291822597203586,0.15236671669822732,-0.3720066023412291,-0.09587424906197255,-0.003638744917576925,0.04573070807802282,-2.9126406177842283,0.030625374232128834,0.4642119084708426,0.3440385016215746,0.395646150012609,-0.1425953077209915,-0.22152125149697918,0.2839733520178052,0.2912437474445106,4.7945062751698675,0.27954228130628206,0.2879685334878432,0.44321093682302803,-0.21862281571882078
Beta,HML,-0.16658451728310558,0.04750724177751448,0.17474556599655766,-0.009904484622829161,0.0823907561432952,-0.4158148962750389,0.3661832260781392,-0.15766574116167334,-0.15826679476358976,2.1821310081710017,0.030937764960317537,0.0339911278601019,-1.566153198996398,0.10134047413825764,0.006466108255021056,-0.13883677948053375,-0.19305315645211285,0.22392943949026636,0.2286541550408288,0.18322476033567753,-0.13545821225248522,0.05510324245168592,0.005932335154496518,0.050358338295095485,0.1951959347342838,-0.3699817717978542,-0.3968152980306317,2.490602715157249,-0.004857062304487481,0.0446443941473331,-0.09391619786068992,-0.07793804996985979,-0.07079877791973124,0.22111539141017122,0.002269727747299981,-0.02352282580391865,0.8420919511473944,-0.08268734241780276,0.20051081836693505,0.07404441509236288,0.05292488384257665,-0.0270922313451133,-3.4180044966787477,-0.03146080652844496,-0.10911398207256821,-0.1284711851530705,-0.186502748808402,0.2851153715610998,0.13079117314376143,0.1656868814656217,3.9660939101864763,-0.017222730044413218,0.0312648026015939,-0.02517548377390417,0.39470214317201713,0.14288601439564702,0.15852711333390387,-0.039671003052719964,2.7984672234343546,-0.23570836852542193,-0.23589109971025957,-0.6636981811030098,0.021949576333523638,-0.13430890904253284,-0.16003127935605416,-0.18453916668739184,0.038309117143385356,-0.7548213758995614,0.0794584793184193,0.7395066249941935,0.8557275456691824,0.38314258457714656,0.03071982221662789,0.020477334210478853,-0.04997309652679415,-0.0499585816312258,0.015606529146527152,-0.05049031969490734,0.14761297982290514,-0.1447355134655942,0.05049957816584995,-0.27476356115765777,0.0068108682056725245,0.40372339927670486,-0.0678578875419435,0.03583818805793071,0.017404246347592776,1.1013695239580166,0.172407242974277,0.23231948406876327,0.023700218428872728,0.01376560078872514,3.336418720043465,0.05658942519834273,0.01482030808410334,0.16799655340394254,-4.823996077050611,-0.06629937083161834,-0.06895595607691347,0.41029948571376856,-0.02637578479493264
Beta,Mkt-RF,-0.07794454233512753,-0.1770037557951202,-0.002714082109670062,0.02348992002588457,0.06554527061273484,-0.036299834673023855,-0.019501631086037967,0.034733842868641354,0.04719208241682372,0.4636652024621127,0.015328720883454465,0.023820734186378027,0.5116603855105785,-0.09031917971531057,-0.02503220227377556,0.47755176454925724,-0.048140662505182286,0.03271001082498553,0.030537688727346367,-0.07417699687324043,-0.05613195397458016,-0.09394754539677279,-0.06795373828875341,-0.0697218833263406,-0.39926806722761543,0.31311415679445553,0.33414989488004326,1.0877543967567271,0.056890458816942206,0.06299620673747547,-0.025029343636657063,0.047629959277130755,0.04040977824636874,0.2531580495323164,-0.05995634735031168,-0.03654018008950436,0.06655001762450091,0.08220981430826643,-0.043812367317371405,0.10106519761123793,0.042288639709705214,0.028552099480848348,-2.160316715885046,0.023041273364814034,-0.0858706261115709,-0.08140479836653207,0.14024101268201597,-0.017190620473343608,0.07539541553982929,0.07766633548459899,1.7093380569718024,-0.06559962908284825,0.03890654670003758,0.13569174810472098,-0.31095407243670226,0.11908210006354022,0.028199329149156363,0.016296603656154682,0.3183412648418417,0.1793860525579015,0.17271837873330925,0.2301526654285988,-0.05880866026181683,0.022957911463900464,-0.02417210715778129,-0.023600103873473468,0.2904346721291169,0.3458732090409667,0.035380547224971304,-0.24456542998415726,-0.2897588788867376,-0.5690694168240964,0.00947844944932821,0.009947157614374084,-0.034887407933022946,0.006695585547953357,-0.01389346858140347,0.27067205298291297,-0.015820566935086447,-0.10018892545127993,-0.05431159486380246,0.15248103351663006,0.031670573700262654,-0.02286172977483776,0.0021786904429096326,0.026793794729676166,0.05429343926653057,-0.23817111595286006,0.005845489106898663,-0.1170414392838785,0.15488002602340525,0.16532512988930395,-0.39635103800956634,-0.03347653543806264,-0.12445703348824694,-0.18658615007603516,6.5533216480051895,0.05226263723327997,0.048904205524507166,0.04878208282822083,-0.02011937835815138
Beta,RMW,-0.1886660233728038,-0.6785218048309419,-0.27834481016596224,-0.13450991049732072,-0.08861920161795979,0.701350674357872,-0.38652267868321605,-0.17575325461419306,-0.10603896998269521,-0.9883492770984967,-0.009246504643771112,-0.002568887159285123,-4.2426873696496425,-0.3390098846977722,-0.2513007933668538,1.053739299000568,-0.01746300154735088,-0.2530481674426399,-0.2659743881846533,-0.3394159988655693,0.013134570200317624,-0.019936632517714423,-0.2294270750738865,-0.2815094813129868,-0.055644499453406056,-0.15871077288974877,-0.10596304160459112,-9.607818497681551,-0.007970142594009999,0.05615587793678201,0.6877616004394977,-0.2909889259014358,-0.33343674832657755,-2.1554444336571725,-0.05444935818634361,0.02725225905119296,-2.66967318184664,0.27417376678733907,-0.3037980047212516,0.10601653118753081,-0.42746054966023056,-0.4926735851943734,-4.377841109461963,-0.2845980764783195,-0.21852970007875255,-0.1631374293830303,-0.7924620981924259,-0.34480781551135653,-0.18327120962649984,-0.14898664695607194,5.060726668741994,0.23642364104966743,-0.2161642018585986,-0.16281871058616695,0.39945860293599067,-0.4405142672605913,0.020728439438378585,-0.16412198629051886,1.9058888737676225,-0.701520222011661,-0.7125964907524658,-0.6727521463418759,-0.11389905343405972,0.061582281242782796,-0.5300751215429425,-0.5176642369701075,-0.5761693034568477,-0.3028452354419806,0.17187366778887575,1.0503995317857422,1.180175511225985,-0.0659344156029597,-0.2526562564603346,-0.24789733066495676,-0.2262611866426972,-0.16594090611598003,-0.17613678489162443,0.9069240390517197,-0.24283706632937235,0.15397822889439386,0.17006109384884427,-0.5035655254936733,-0.4762801036015307,-1.0554031638740626,-0.14060911112589933,-0.5430723859316777,-0.4659851404158412,-1.2357915460315239,-0.36923283008487096,-0.5711014156386335,-0.3792536522910339,-0.37626920377382467,-3.1728666490185544,-0.332628282407777,-0.5196303328877424,-0.4981900123875051,0.7922376428891034,-0.11112673807284157,-0.05646572226245463,-1.0830997562830167,-0.4055447562236885
Beta,SMB,0.022271219471178126,0.04592623450269774,0.053675955753712284,0.16093220561305652,-0.1790805768460452,0.6642076835957916,-0.2829610310128741,0.14600151278058549,0.12735834742610766,-2.864806752005852,0.11650588759979802,0.07764615933406982,-0.8994583141401845,0.044035027373271515,0.05860660763719374,-0.35245650742858964,0.018773712966201266,-0.009573321941818185,-0.006965564774798116,-0.08560529943622167,0.055092818344835634,-0.029323500412357692,-0.0445587911360147,-0.11637192419451306,1.683576501131622,0.01347825611710098,0.026005030378523763,0.21417434888937262,0.0014115171996840917,0.00604546123495441,0.5169179258914757,-0.04873323566253061,-0.0469110932939904,-1.907182083306146,0.02067498957694416,0.004203992659700986,-0.48662264504226493,-0.19088445017006145,0.15904612599038095,-0.0003947995203558887,-0.28888703670994953,-0.3271988619400515,1.8219982930586784,0.03804621321452575,-0.024604667818341645,-0.03361907152956054,0.19038085265187654,-0.21844526055169788,-0.08387616771291187,-0.12119695832301457,-0.6182324574141322,0.13521320816456134,-0.13650112135651998,-0.17426432312126985,0.383160602130884,-0.10066658788027236,0.09166364383054464,-0.019090556546910577,1.4412852123807467,0.10369455401917974,0.09838509457414733,0.421340352854611,0.2221639748427864,0.16672836513043718,-0.031418243948538344,-0.016115421649856073,-0.17441407641790282,0.015893136809930136,0.14798865742597442,0.5708364230396192,0.6152003692957453,0.6006788208352971,-0.13465785407471279,-0.1200609677132202,0.15608867605609464,0.08923020169596324,0.00998733224061576,-0.015095256253142699,-0.010303988092560779,0.14067369349073572,0.03724887697433645,-0.09527128780228897,-0.20480936817855314,-0.25936401104491674,0.05711726543155317,-0.030054751334977047,-0.014593655547585026,0.21195355306558988,-0.25108815904854304,-0.01756512891330173,0.03625265207911916,0.0479984515165523,-4.178406157105727,0.2120478758783593,0.12127734793748131,0.15093137623615918,11.232739359201988,-0.09260378318615327,-0.06496524351676365,0.0617937032519764,-0.03545827994300426
Pvalue,Alpha,0.6227884554379505,0.19071421737105954,0.14838811500939822,0.4888563262653681,0.010590741627394382,0.27053693760373226,0.03469047964089928,0.04113679924359362,0.014850415199221442,0.16684143109571176,0.5240654297704563,0.15441675777182517,0.10699937080976442,0.28111451069506443,0.22917406547686345,0.7448158536762787,0.0033881329643059236,0.21548082670277705,0.20133104070440852,0.7450441956910977,0.050232293373541514,0.9159999858025517,0.11361134408439909,0.04648606106541836,0.23115923369073157,0.2565839737787368,0.2527262841778118,0.08623938263193706,0.08823766478437288,0.040369729195615815,0.024262835813717205,0.12266710002958617,0.04926084555787267,0.5059320216589067,0.4540236596166539,0.4799607444570526,0.7693183964141557,0.6841975397034219,0.31320412170075906,0.13425558501922735,0.07868840227903122,0.029039323454679987,0.1290206579894778,0.3943550960060911,0.296992590213366,0.2064839235567498,0.7909280915241412,0.08093853724230203,0.13969899730655877,0.07061139408299733,0.2739918529684723,0.008498870567745826,0.17640328587867748,0.26222441971636246,0.015807638995818364,0.5714534837762771,0.08537975048161114,0.11547808683482169,0.019159502949046846,0.4252533165098392,0.3641644573111841,0.6475119514999867,0.15533625208632953,0.737442865675602,0.052238219844427114,0.038498592710507214,0.4562788324437307,0.01692065343630603,0.36177849725386924,0.2810168435460991,0.2614999560171541,0.7061473319145318,0.06505248593626904,0.07132674461202616,0.15037919700676927,0.48136425197353994,0.5690873971558459,0.09325247177406663,0.24430894501285663,0.7471481325497281,0.37652423324877526,0.5082181491979212,0.2655566918730208,0.05897981924401497,0.47178158357367983,0.09483784941546193,0.05473542485502935,0.6653656919938244,0.1305856616883002,0.0768290500769081,0.21854970122344386,0.26027023594583193,0.19770097194809788,0.008810712212535602,0.21041157088855406,0.13435606948207368,0.3639887177747487,0.16382225426805108,0.07975226831516369,0.03911387343982219,0.009651438100849645
Pvalue,CMA,0.1629030490699133,0.842996587429089,0.34701700137686065,0.24789803199939486,0.4930856868656166,0.27452411619493566,0.365788056831471,0.757206990781782,0.7241466917714701,0.3682441112969471,0.36626833915533763,0.6971452308329991,0.37996757079978005,0.24811336839408174,0.6090397509240375,0.06043549591259995,0.5480620314613307,0.8376563664247548,0.819977063290528,0.8859331924322777,0.5047588044437308,0.634450149569183,0.6728375567451869,0.983947704314759,0.6287877824296411,0.32019646238607635,0.2888558397482384,0.23352938518808586,0.3977196650631387,0.4530478764457173,0.4731749637426579,0.31248046421180264,0.42516125306259245,0.4429217358905262,0.7918603594048292,0.4834922263049908,0.9213031617094005,0.013336584747182589,0.6359727455561364,0.35572162737669943,0.8467226850907721,0.2867304428185023,0.32466419794769397,0.8201046277372884,0.520069532821634,0.38525237922216804,0.7193424747611469,0.706036529522701,0.926336867538895,0.8643573824872495,0.020081697756561396,0.1549293767979403,0.950606870242942,0.8567925970236459,0.6491899423608678,0.4506768514018482,0.6595043193103306,0.6093864914724384,0.006106105217350233,0.5785474947639748,0.5859459597419914,0.25586066783951444,0.5990294566529034,0.4802643646453414,0.2939149279919533,0.2488483293665535,0.9830846046692967,0.633699243692257,0.5962869535559184,0.19538938005707013,0.20272089296691143,0.14122203866806404,0.5039764217794709,0.5089562435255035,0.5388323653277372,0.7751172838797763,0.6964516226553232,0.9037177246861513,0.9693952059593371,0.755830113774008,0.4926886342598501,0.06900904613356305,0.6650311443568198,0.4391962524181061,0.7817483259366419,0.9918396890136432,0.9006270724933272,0.002050754128892468,0.9417795245939256,0.27496454906253903,0.5013703467665587,0.4426311852835735,0.9491881461963398,0.5686844061707368,0.5735799248243221,0.5907251667366413,0.6048671954527582,0.3031151476330244,0.281295977063911,0.5088574216737496,0.4395606038329658
Pvalue,HML,0.4418301684626962,0.9045138517255586,0.4158890095877549,0.9668061791554132,0.7098212668325736,0.3115624817894525,0.21108758181849624,0.38012792057613476,0.3694528515533433,0.3397093479281248,0.8342653730885958,0.8004654436624103,0.3804721782673237,0.5476087629090597,0.9674794503207862,0.7089593042326283,0.41556648649503725,0.3225811689031085,0.3178206642299139,0.24342473144210308,0.3923239917765001,0.8191649752457608,0.9661357989645688,0.7613874645703602,0.7495939081072049,0.1878880164246672,0.17030447428700166,0.5605845149112332,0.9759891188400713,0.7838943201627045,0.8208161416256359,0.6871567257283513,0.7261853850686836,0.7528669599700741,0.9842127691024065,0.8337028003810718,0.48437048536849325,0.6008397882044235,0.5000820157261059,0.5950806127359471,0.7708949935155212,0.8737285940746429,0.2643190384813097,0.9101768973887276,0.5745449791110082,0.4850738911037007,0.7593590326724258,0.27518132094433206,0.5272562891471472,0.42613295204696855,0.2738373082381304,0.9206900329306669,0.8753536998725922,0.9041201134452679,0.1582277968739789,0.5968587047023703,0.40046705337701216,0.7867593593120095,0.15229775473289486,0.4259067890162386,0.42755981971488044,0.042144040766882204,0.9177293407180467,0.5251668746378941,0.5462969200745877,0.49288175777696486,0.9393468486382397,0.07765314852028324,0.653481209518852,0.4251699054809085,0.4056383790576189,0.4119741521515673,0.835841634147545,0.8899394153949809,0.7429151322331269,0.8812815727599294,0.9609949834312792,0.9168590790524007,0.3391792809349353,0.5081299765159679,0.8074195208184325,0.38894212152700247,0.9753313923019868,0.1805522831367384,0.7541236858985589,0.8721726811259558,0.9394895999986445,0.06072220489254606,0.5115622679287466,0.38257373518223947,0.9409926308431971,0.9659415039009787,0.017991843865896192,0.8160231542185812,0.9625659230777459,0.6202223180272456,0.40588832182289636,0.6961299558821619,0.6799035222121159,0.3289297958116941,0.8815088560357702
Pvalue,Mkt-RF,0.5383928327032372,0.4452088378293817,0.9827549547414723,0.8660439286714159,0.6129333863233597,0.8798364684049325,0.9091988946216828,0.7408412711601822,0.6471358686579382,0.728536728861462,0.8593537645327882,0.7620947586880025,0.6241023311221129,0.35991194349028865,0.7873547219465837,0.029089324057952577,0.7284200106572094,0.8047233198040129,0.8194188899965477,0.41918085508544045,0.5444255648765535,0.5054672457234359,0.40623362047713263,0.47261548101911277,0.26512135965942707,0.05736073157960438,0.04896631420077768,0.663912554954028,0.5469763799613954,0.5085144227000292,0.9178212867512061,0.6740096717222921,0.7326121551594633,0.537927055209991,0.3720891003472737,0.5773405049317255,0.9247008782571886,0.3742492666389078,0.8010616304661651,0.21568364845780433,0.6908730918828775,0.7746825581918191,0.22798118082916227,0.8876948860804342,0.4503177804543159,0.4496109649192993,0.6938216845591421,0.9103367032976042,0.5333422816877125,0.5236074244003752,0.41988069615859214,0.5170664037014044,0.7386738494708465,0.26781723463672574,0.05790502642140079,0.45134100943889865,0.7980804004256937,0.8493466179284961,0.7802570519210128,0.30058455443331117,0.3209657405176604,0.22692440718364948,0.6362756448747979,0.8526613738771616,0.8761721799913487,0.880785924629448,0.32469086167287287,0.16638262090101205,0.7325748062215891,0.6519719200532728,0.6301176648082283,0.038104743118387886,0.9129772364257097,0.9085276339645874,0.6955312550120993,0.9727080418834217,0.940680783059515,0.33932750330126205,0.8608639797449258,0.4337466764536718,0.6541465001685246,0.4137700823803515,0.8058746361495849,0.8966597548213123,0.9862850092533766,0.8370994529432578,0.6857094232928034,0.4865812017177864,0.9696403217619314,0.45201537140796444,0.4087253688956851,0.3811852946103591,0.6287594077062,0.8140138751124452,0.5007515073221831,0.3472249829255848,0.05448723088355357,0.598797473572285,0.6170050484742535,0.8425661950418586,0.8459130603197513
