,,AGRICULTURAL PRODUCTION-CROPS,AMUSEMENT AND RECREATION SERVICES,APPAREL & OTHER FINISHED PRODS MADE FROM FABRICS & SIMILAR MATLS,APPAREL AND ACCESSORY STORES,AUTOMOTIVE DEALERS AND GASOLINE SERVICE STATIONS,"AUTOMOTIVE REPAIR, SERVICES, AND PARKING",BUILDING CONSTRUCTION - GENERAL CONTRACTORS & OPERATIVE BUILDERS,BUSINESS SERVICES,BUSINESS SERVICES - Large Cap,BUSINESS SERVICES - Small Cap,CHEMICALS AND ALLIED PRODUCTS,CHEMICALS AND ALLIED PRODUCTS - Large Cap,CHEMICALS AND ALLIED PRODUCTS - Small Cap,COMMUNICATIONS,COMMUNICATIONS - Large Cap,COMMUNICATIONS - Small Cap,CONSTRUCTION - SPECIAL TRADE CONTRACTORS,DEPOSITORY INSTITUTIONS,DEPOSITORY INSTITUTIONS - Large Cap,DEPOSITORY INSTITUTIONS - Small Cap,DURABLE GOODS-WHOLESALE,DURABLE GOODS-WHOLESALE - Large Cap,DURABLE GOODS-WHOLESALE - Small Cap,EATING AND DRINKING PLACES,EDUCATIONAL SERVICES,"ELECTRIC, GAS, AND SANITARY SERVICES","ELECTRIC, GAS, AND SANITARY SERVICES - Large Cap","ELECTRIC, GAS, AND SANITARY SERVICES - Small Cap","ELECTRONIC & OTHER ELECTRICAL EQUIPMENT & COMPONENTS, EX CMP EQUIP","ELECTRONIC & OTHER ELECTRICAL EQUIPMENT & COMPONENTS, EX CMP EQUIP - Large Cap","ELECTRONIC & OTHER ELECTRICAL EQUIPMENT & COMPONENTS, EX CMP EQUIP - Small Cap","ENGINEERING, ACCOUNTING, RESEARCH, MANAGEMENT, AND RELATED SERVICES","ENGINEERING, ACCOUNTING, RESEARCH, MANAGEMENT, AND RELATED SERVICES - Large Cap","ENGINEERING, ACCOUNTING, RESEARCH, MANAGEMENT, AND RELATED SERVICES - Small Cap","FABRICATED METAL PRODUCTS, EXCEPT MACHINERY & TRANSPORTATION EQUIPMENT","FABRICATED METAL PRODUCTS, EXCEPT MACHINERY & TRANSPORTATION EQUIPMENT - Large Cap","FABRICATED METAL PRODUCTS, EXCEPT MACHINERY & TRANSPORTATION EQUIPMENT - Small Cap",FOOD AND KINDRED PRODUCTS,FOOD AND KINDRED PRODUCTS - Large Cap,FOOD AND KINDRED PRODUCTS - Small Cap,FOOD STORES,FURNITURE AND FIXTURES,GENERAL MERCHANDISE STORES,HEALTH SERVICES,HEALTH SERVICES - Large Cap,HEALTH SERVICES - Small Cap,HEAVY CONSTRUCTION OTHER THAN BUILDING CONSTRUCTION - CONTRACTORS,HOLDING AND OTHER INVESTMENT OFFICES,HOLDING AND OTHER INVESTMENT OFFICES - Large Cap,HOLDING AND OTHER INVESTMENT OFFICES - Small Cap,"HOTELS, ROOMING HOUSES, CAMPS, AND OTHER LODGING PLACES",INDUSTRIAL AND COMMERCIAL MACHINERY AND COMPUTER EQUIPMENT,INDUSTRIAL AND COMMERCIAL MACHINERY AND COMPUTER EQUIPMENT - Large Cap,INDUSTRIAL AND COMMERCIAL MACHINERY AND COMPUTER EQUIPMENT - Small Cap,"INSURANCE AGENTS, BROKERS, AND SERVICE",INSURANCE CARRIERS,INSURANCE CARRIERS - Large Cap,INSURANCE CARRIERS - Small Cap,"LUMBER AND WOOD PRODUCTS, EXCEPT FURNITURE","MEASURING,ANALYZING,CONTROL INSTR; PHOTO,MED,OPTIC GDS; WATCHES,CLOCKS","MEASURING,ANALYZING,CONTROL INSTR; PHOTO,MED,OPTIC GDS; WATCHES,CLOCKS - Large Cap","MEASURING,ANALYZING,CONTROL INSTR; PHOTO,MED,OPTIC GDS; WATCHES,CLOCKS - Small Cap",METAL MINING,METAL MINING - Large Cap,METAL MINING - Small Cap,"MINING AND QUARRYING OF NONMETALLIC MINERALS, EXCEPT FUELS",MISCELLANEOUS MANUFACTURING INDUSTRIES,MISCELLANEOUS RETAIL,MISCELLANEOUS RETAIL - Large Cap,MISCELLANEOUS RETAIL - Small Cap,MOTION PICTURES,MOTOR FREIGHT TRANSPORTATION AND WAREHOUSING,NONCLASSIFIABLE ESTABLISHMENTS,NONCLASSIFIABLE ESTABLISHMENTS - Large Cap,NONCLASSIFIABLE ESTABLISHMENTS - Small Cap,NONDEPOSITORY CREDIT INSTITUTIONS,NONDEPOSITORY CREDIT INSTITUTIONS - Large Cap,NONDEPOSITORY CREDIT INSTITUTIONS - Small Cap,NONDURABLE GOODS-WHOLESALE,OIL AND GAS EXTRACTION,OIL AND GAS EXTRACTION - Large Cap,OIL AND GAS EXTRACTION - Small Cap,PAPER AND ALLIED PRODUCTS,PERSONAL SERVICES,PETROLEUM REFINING AND RELATED INDUSTRIES,PRIMARY METAL INDUSTRIES,"PRINTING, PUBLISHING, AND ALLIED INDUSTRIES",REAL ESTATE,RUBBER AND MISCELLANEOUS PLASTICS PRODUCTS,"SECURITY & COMMODITY BROKERS, DEALERS, EXCHANGES, & SERVICES","SECURITY & COMMODITY BROKERS, DEALERS, EXCHANGES, & SERVICES - Large Cap","SECURITY & COMMODITY BROKERS, DEALERS, EXCHANGES, & SERVICES - Small Cap","STONE, CLAY, GLASS, AND CONCRETE PRODUCTS",TRANSPORTATION BY AIR,TRANSPORTATION EQUIPMENT,TRANSPORTATION EQUIPMENT - Large Cap,TRANSPORTATION EQUIPMENT - Small Cap,TRANSPORTATION SERVICES,WATER TRANSPORTATION,WATER TRANSPORTATION - Large Cap,WATER TRANSPORTATION - Small Cap
Beta,Alpha,0.0027502643959763755,0.013408991382522054,0.004256516687150963,0.008030166392315982,0.014727779888334814,0.011694542499326081,0.016025506574138745,0.009512707947942815,0.011161963990538794,0.08174010241991973,0.0024337486366232536,0.004957667335231442,0.07449426235302858,0.004695151952751223,0.004933642757250197,0.0031263653067271574,0.018114901650158242,0.007246087451050975,0.007558738634515638,0.001317078432470997,0.006116953631804227,0.007588465544331011,-0.022479099451489393,0.008036856657066566,0.0006564725754700649,0.005726374100419095,0.008566310331757657,-0.018940719980799173,0.008227065185820963,0.008541667403101295,0.1901947494941953,0.007129332956622004,0.008660595277540725,-0.02427063796258178,0.00773557202754464,0.010311962620356828,0.01206842143285882,0.0022193321079725364,0.0020448391277694275,0.009115574768373533,-0.0016598502771699314,0.007749132419500935,0.005400386952466349,0.00828253563218597,0.009664968556080764,0.12018781420809442,0.006139203728029674,0.005239707719504785,0.006011163067274946,0.004168140193545147,0.011802431573646603,0.00790745391337886,0.009751334050255163,0.10238872576245485,0.011853671745356096,0.006973576020137992,0.006060116340029476,-0.01751345855011639,0.0039481771966015525,0.008398904354255676,0.0059781960972041396,0.118748477028743,0.006095849143742158,0.006969324195512018,-0.00533234083472488,0.007816255681600841,0.001829331863647615,0.013351349654831979,0.014448352031161831,0.009692475464926163,0.026468255861103178,0.004171612268841981,0.007091694438307001,0.0069183403526850975,0.005672006940707499,0.0258319720619914,0.02985886073794227,0.004544193876712751,0.011921862301279203,0.006086063626682615,0.004694228809926201,-0.02103557941549563,0.004646025205544357,0.001820258171380024,0.004735286544048785,0.005447045785249733,0.006342145466000619,0.014733986091916163,0.004028083267357752,0.009640185811538261,0.011424023436301773,0.006532952096792326,0.010277121095580101,0.012192062880476147,0.010191752613825593,0.009386620921788302,0.04669156034862112,0.01658737664151278,0.0102322483054217,0.013138882372622193,0.13608544188362728
Beta,CMA,0.4835531776884533,0.1252944699437169,0.43998866119604635,0.32272489101981816,-0.24251848436755158,0.7173502768428252,-0.4226232874254832,0.08862776344224335,0.09932979011070243,-3.291312294194388,-0.21358884544727297,-0.08361325983108905,2.5043448171507436,-0.31126051894267165,-0.1296097940761151,1.1201284320866314,0.22743364693194115,-0.0740079010123744,-0.08311259241977381,0.03593508192399924,0.27954228130628206,0.2879685334878431,0.44321093682302803,0.16866303485314735,0.1830963390231322,0.0942675164897059,-0.005329205090360204,-0.472331288388168,0.44572146159831294,0.4898359498042758,-8.154366810645659,0.2181864523886021,0.19522577265770305,0.47537459377275326,0.31255794312195423,0.2576919228396456,-0.8611942732966443,0.04835559964452362,0.12546573998687785,-0.18992170729759236,0.6291339577498853,-0.2247475386486555,0.20566218271571068,0.05611410211320621,0.29047740892425467,4.815819446867624,0.10130504571181338,0.19973447663251778,0.25529058042544045,-0.349483266357453,-0.1572243568513749,0.03053851624864146,0.05676995961589067,-13.527668526699067,0.3939549119839163,-0.01972107766267142,0.06024582973693386,-0.20281438125737655,0.3255992320561199,-0.13261465915623705,0.1197144899253626,-8.619245517099852,0.262559593484025,0.25860251083493896,0.7578127053102308,0.17852734529557296,0.23836058219255832,0.44509609362027486,0.4962114613578993,-0.01705064445586842,0.3244980743567464,-0.14978542301383066,0.1583223932168019,0.15619335287199096,0.14961885649910497,-1.920276261452164,-2.0961515308742515,-1.0994770638938334,-0.21862281571882083,-0.152665728955064,-0.1988942963471512,-0.09345671888840087,-0.009454595599339038,0.1085943519580643,0.22713999876422813,0.9291822597203586,0.15236671669822743,-0.37200660234122906,-0.09587424906197252,-0.0036387449175768975,0.04573070807802282,-2.912640617784228,0.030625374232128695,0.4642119084708426,0.34403850162157473,0.3956461500126089,-0.1425953077209919,-0.2215212514969793,0.2839733520178052,0.2912437474445107,4.79450627516987
Beta,HML,-0.16658451728310567,0.04750724177751437,-0.009904484622829217,0.1747455659965577,0.08239075614329514,-0.4158148962750391,0.36618322607813925,-0.15765900277452427,-0.15826679476358976,2.1846879566919926,0.03093776496031751,0.0339911278601019,-1.566153198996398,0.10134047413825768,0.006466108255021042,-0.13883677948053366,-0.1930531564521128,0.22392943949026634,0.22865415504082887,0.18322476033567758,-0.06629937083161834,-0.06895595607691353,0.41029948571376845,-0.13545821225248522,0.05510324245168592,0.0059323351544965115,0.05035833829509551,0.19519593473428382,-0.3699817717978542,-0.39681529803063176,2.490602715157249,-0.0048570623044874184,0.04464439414733311,-0.09391619786069003,-0.07793804996985974,-0.07079877791973115,0.22111539141017134,0.002269727747300009,-0.023522825803918665,0.8420919511473944,-0.08268734241780272,0.20051081836693507,0.0740444150923629,0.0529248838425766,-0.0270922313451133,-3.4180044966787473,-0.031460806528444935,-0.10911398207256821,-0.12847118515307046,-0.18650274880840223,0.28511537156109984,0.13079117314376143,0.1656868814656216,3.9660939101864763,-0.017222730044413163,0.03126480260159393,-0.025175483773904175,0.39470214317201724,0.14288601439564705,0.15852711333390382,-0.039671003052719964,2.7984672234343546,-0.23569570021300557,-0.23589109971025957,-0.699100653257803,0.021949576333523638,-0.13430890904253284,-0.16003127935605416,-0.18453916668739184,0.03830911714338541,-0.7548213758995614,0.07945847931841929,0.030719822216628008,0.020477334210478853,-0.04997309652679415,0.7395066249941935,0.8557275456691824,0.38314258457714634,-0.026375784794932633,-0.04995858163122576,0.015606529146527132,-0.050490319694907373,0.147612979822905,-0.1447355134655942,0.050499578165849934,-0.27476356115765765,0.006810868205672483,0.40372339927670475,-0.06785788754194343,0.03583818805793074,0.017404246347592748,1.1013695239580166,0.17240724297427723,0.23231948406876315,0.02370021842887277,0.01376560078872514,3.336418720043465,0.05658942519834273,0.01482030808410345,0.16799655340394246,-4.8239960770506105
Beta,Mkt-RF,-0.07794454233512747,-0.17700375579512023,0.023489920025884542,-0.0027140821096700795,0.06554527061273481,-0.0362998346730238,-0.019501631086037995,0.03473386754293265,0.04719208241682373,0.46352535963730424,0.015328720883454479,0.02382073418637804,0.5116603855105787,-0.09031917971531057,-0.025032202273775582,0.4775517645492572,-0.048140662505182286,0.03271001082498554,0.030537688727346395,-0.07417699687324045,0.05226263723327997,0.04890420552450718,0.04878208282822083,-0.05613195397458018,-0.09394754539677284,-0.06795373828875344,-0.06972188332634054,-0.39926806722761543,0.31311415679445553,0.33414989488004326,1.087754396756727,0.05689045881694219,0.06299620673747547,-0.025029343636657063,0.047629959277130735,0.040409778246368724,0.2531580495323164,-0.05995634735031171,-0.03654018008950435,0.06655001762450102,0.08220981430826638,-0.04381236731737136,0.10106519761123793,0.04228863970970523,0.02855209948084834,-2.1603167158850454,0.02304127336481409,-0.0858706261115709,-0.08140479836653212,0.14024101268201603,-0.01719062047334361,0.07539541553982927,0.07766633548459898,1.7093380569718024,-0.06559962908284825,0.03890654670003755,0.13569174810472098,-0.31095407243670226,0.11908210006354028,0.02819932914915639,0.016296603656154696,0.3183412648418417,0.17938301135434576,0.1727183787333092,0.2484488146640491,-0.05880866026181686,0.022957911463900523,-0.024172107157781265,-0.023600103873473503,0.29043467212911683,0.3458732090409667,0.035380547224971304,0.009478449449328203,0.009947157614374091,-0.034887407933022946,-0.2445654299841573,-0.2897588788867378,-0.5690694168240965,-0.02011937835815138,0.006695585547953398,-0.013893468581403497,0.2706720529829131,-0.015820566935086433,-0.10018892545127996,-0.0543115948638024,0.1524810335166301,0.0316705737002627,-0.02286172977483776,0.002178690442909702,0.026793794729676138,0.05429343926653055,-0.23817111595286017,0.005845489106898684,-0.1170414392838785,0.15488002602340534,0.165325129889304,-0.3963510380095662,-0.03347653543806264,-0.12445703348824697,-0.18658615007603502,6.553321648005188
Beta,RMW,-0.18866602337280375,-0.6785218048309419,-0.13450991049732078,-0.27834481016596224,-0.08861920161795982,0.7013506743578719,-0.386522678683216,-0.1757614166701494,-0.10603896998269517,-0.9959909663790263,-0.009246504643771084,-0.0025688871592850398,-4.242687369649642,-0.3390098846977722,-0.25130079336685374,1.053739299000568,-0.01746300154735088,-0.25304816744263997,-0.2659743881846531,-0.3394159988655693,-0.11112673807284154,-0.0564657222624546,-1.083099756283017,0.013134570200317568,-0.01993663251771441,-0.2294270750738864,-0.2815094813129868,-0.055644499453406084,-0.1587107728897488,-0.10596304160459112,-9.60781849768155,-0.007970142594010054,0.056155877936781846,0.6877616004394977,-0.2909889259014358,-0.3334367483265774,-2.1554444336571725,-0.05444935818634365,0.027252259051192947,-2.66967318184664,0.27417376678733896,-0.3037980047212516,0.10601653118753084,-0.42746054966023045,-0.4926735851943733,-4.377841109461963,-0.2845980764783193,-0.21852970007875258,-0.16313742938303027,-0.7924620981924261,-0.34480781551135636,-0.1832712096264998,-0.14898664695607203,5.060726668741996,0.23642364104966743,-0.21616420185859866,-0.16281871058616695,0.3994586029359908,-0.4405142672605913,0.020728439438378585,-0.16412198629051886,1.9058888737676232,-0.7015166946900631,-0.7125964907524657,-0.6654846891428504,-0.11389905343405975,0.06158228124278271,-0.5300751215429423,-0.5176642369701077,-0.5761693034568478,-0.3028452354419806,0.17187366778887575,-0.2526562564603347,-0.2478973306649567,-0.2262611866426972,1.0503995317857422,1.1801755112259855,-0.06593441560295965,-0.40554475622368863,-0.16594090611598003,-0.17613678489162454,0.9069240390517199,-0.2428370663293722,0.15397822889439386,0.17006109384884427,-0.5035655254936733,-0.4762801036015308,-1.0554031638740626,-0.14060911112589936,-0.5430723859316776,-0.4659851404158412,-1.235791546031524,-0.36923283008487107,-0.5711014156386334,-0.3792536522910337,-0.3762692037738245,-3.172866649018555,-0.3326282824077769,-0.5196303328877425,-0.4981900123875052,0.7922376428891014
Beta,SMB,0.022271219471178143,0.04592623450269777,0.16093220561305666,0.053675955753712284,-0.17908057684604523,0.6642076835957915,-0.2829610310128741,0.14599654023991768,0.1273583474261077,-2.8688099947070747,0.11650588759979807,0.07764615933406979,-0.8994583141401845,0.04403502737327146,0.05860660763719366,-0.35245650742858964,0.01877371296620124,-0.009573321941818185,-0.006965564774798033,-0.08560529943622175,-0.09260378318615327,-0.06496524351676362,0.061793703251976265,0.055092818344835634,-0.029323500412357664,-0.044558791136014644,-0.11637192419451307,1.683576501131622,0.013478256117100951,0.026005030378523652,0.21417434888937262,0.0014115171996840154,0.006045461234954417,0.5169179258914757,-0.04873323566253064,-0.04691109329399039,-1.907182083306146,0.020674989576944146,0.004203992659700986,-0.4866226450422648,-0.19088445017006148,0.15904612599038095,-0.00039479952035585225,-0.2888870367099495,-0.3271988619400515,1.8219982930586784,0.0380462132145258,-0.02460466781834166,-0.033619071529560556,0.1903808526518766,-0.21844526055169777,-0.08387616771291186,-0.12119695832301465,-0.6182324574141317,0.13521320816456134,-0.13650112135652,-0.17426432312126988,0.3831606021308839,-0.10066658788027244,0.09166364383054458,-0.019090556546910605,1.4412852123807478,0.10369951353788738,0.09838509457414742,0.3048194160761314,0.2221639748427864,0.1667283651304372,-0.03141824394853837,-0.016115421649856018,-0.17441407641790288,0.015893136809930222,0.14798865742597436,-0.13465785407471284,-0.12006096771322018,0.15608867605609464,0.5708364230396192,0.6152003692957453,0.6006788208352971,-0.03545827994300426,0.08923020169596323,0.00998733224061576,-0.015095256253142616,-0.01030398809256075,0.14067369349073586,0.03724887697433648,-0.09527128780228901,-0.20480936817855308,-0.2593640110449167,0.05711726543155321,-0.030054751334977006,-0.014593655547585026,0.21195355306558988,-0.25108815904854315,-0.017565128913301618,0.036252652079119214,0.047998451516552326,-4.178406157105728,0.21204787587835924,0.12127734793748136,0.15093137623615913,11.232739359201984
Pvalue,Alpha,0.6227884554379505,0.1907142173710594,0.488856326265368,0.14838811500939803,0.010590741627394382,0.2705369376037323,0.03469047964089928,0.04113493297614665,0.014850415199221442,0.16654384797096233,0.5240654297704564,0.15441675777182529,0.10699937080976442,0.28111451069506443,0.2291740654768633,0.7448158536762783,0.0033881329643059236,0.21548082670277696,0.20133104070440877,0.7450441956910975,0.16382225426805114,0.07975226831516369,0.03911387343982219,0.05023229337354149,0.9159999858025515,0.11361134408439892,0.04648606106541846,0.2311592336907314,0.2565839737787369,0.2527262841778118,0.08623938263193709,0.08823766478437282,0.040369729195615815,0.024262835813717184,0.12266710002958617,0.04926084555787267,0.5059320216589067,0.4540236596166539,0.4799607444570525,0.7693183964141558,0.6841975397034226,0.31320412170075906,0.13425558501922735,0.07868840227903134,0.029039323454679973,0.12902065798947768,0.39435509600609087,0.296992590213366,0.20648392355674963,0.7909280915241413,0.0809385372423021,0.13969899730655883,0.0706113940829973,0.2739918529684723,0.008498870567745846,0.17640328587867748,0.26222441971636246,0.015807638995818336,0.5714534837762772,0.08537975048161114,0.11547808683482177,0.019159502949046846,0.425236564369902,0.3641644573111843,0.522768989549903,0.15533625208632945,0.7374428656756025,0.052238219844427114,0.03849859271050716,0.4562788324437309,0.016920653436306023,0.36177849725386935,0.06505248593626908,0.07132674461202623,0.15037919700676927,0.2810168435460991,0.26149995601715387,0.7061473319145318,0.009651438100849645,0.48136425197353994,0.5690873971558454,0.09325247177406663,0.24430894501285677,0.7471481325497281,0.37652423324877526,0.5082181491979212,0.26555669187302094,0.05897981924401488,0.47178158357368016,0.09483784941546193,0.05473542485502944,0.6653656919938247,0.1305856616883002,0.0768290500769081,0.21854970122344386,0.2602702359458321,0.19770097194809788,0.008810712212535602,0.21041157088855406,0.1343560694820736,0.36398871777474884
Pvalue,CMA,0.16290304906991315,0.842996587429089,0.24789803199939486,0.34701700137686065,0.4930856868656166,0.27452411619493583,0.365788056831471,0.7572383912477426,0.7241466917714701,0.36719207871849524,0.36626833915533785,0.6971452308329992,0.3799675707997797,0.2481133683940816,0.6090397509240377,0.060435495912599994,0.5480620314613307,0.8376563664247548,0.8199770632905277,0.8859331924322777,0.3031151476330244,0.2812959770639112,0.5088574216737496,0.5047588044437306,0.6344501495691832,0.672837556745187,0.9839477043147589,0.6287877824296413,0.32019646238607635,0.2888558397482384,0.2335293851880858,0.39771966506313905,0.4530478764457174,0.4731749637426579,0.31248046421180276,0.42516125306259267,0.4429217358905262,0.7918603594048292,0.4834922263049908,0.9213031617094005,0.013336584747182616,0.6359727455561364,0.35572162737669943,0.8467226850907721,0.2867304428185024,0.32466419794769397,0.8201046277372883,0.520069532821634,0.38525237922216815,0.7193424747611471,0.7060365295227014,0.9263368675388951,0.864357382487249,0.020081697756561396,0.1549293767979404,0.950606870242942,0.8567925970236459,0.6491899423608674,0.4506768514018482,0.6595043193103309,0.6093864914724384,0.006106105217350246,0.5785789871967606,0.5859459597419916,0.14283991897751033,0.5990294566529035,0.4802643646453415,0.29391492799195357,0.2488483293665535,0.983084604669297,0.633699243692257,0.5962869535559187,0.5039764217794714,0.5089562435255041,0.5388323653277372,0.19538938005707013,0.20272089296691148,0.14122203866806424,0.4395606038329657,0.7751172838797762,0.696451622655323,0.9037177246861512,0.9693952059593371,0.755830113774008,0.4926886342598501,0.06900904613356305,0.6650311443568195,0.4391962524181061,0.781748325936642,0.9918396890136433,0.9006270724933272,0.002050754128892472,0.9417795245939258,0.27496454906253903,0.5013703467665585,0.4426311852835735,0.9491881461963397,0.5686844061707367,0.5735799248243221,0.5907251667366413,0.6048671954527578
Pvalue,HML,0.44183016846269607,0.9045138517255589,0.966806179155413,0.4158890095877549,0.7098212668325738,0.3115624817894523,0.21108758181849607,0.3801474920567971,0.3694528515533433,0.3390800610020077,0.834265373088596,0.8004654436624103,0.3804721782673237,0.5476087629090596,0.9674794503207862,0.7089593042326285,0.41556648649503714,0.3225811689031085,0.3178206642299138,0.2434247314421029,0.6961299558821619,0.6799035222121157,0.32892979581169446,0.3923239917765001,0.8191649752457608,0.9661357989645689,0.7613874645703602,0.7495939081072047,0.18788801642466715,0.17030447428700163,0.5605845149112332,0.9759891188400717,0.7838943201627044,0.8208161416256357,0.6871567257283515,0.7261853850686839,0.7528669599700739,0.9842127691024063,0.8337028003810718,0.48437048536849325,0.6008397882044236,0.5000820157261059,0.5950806127359469,0.7708949935155214,0.8737285940746429,0.2643190384813098,0.9101768973887278,0.5745449791110082,0.4850738911037009,0.7593590326724254,0.27518132094433206,0.5272562891471472,0.4261329520469689,0.2738373082381304,0.9206900329306671,0.875353699872592,0.9041201134452679,0.15822779687397875,0.5968587047023703,0.4004670533770124,0.7867593593120095,0.15229775473289475,0.42593153259702476,0.42755981971488044,0.03133419504308843,0.9177293407180467,0.5251668746378941,0.5462969200745877,0.49288175777696486,0.9393468486382397,0.07765314852028324,0.6534812095188522,0.8358416341475443,0.8899394153949809,0.7429151322331269,0.4251699054809085,0.4056383790576189,0.4119741521515675,0.8815088560357702,0.8812815727599295,0.9609949834312793,0.9168590790524007,0.33917928093493577,0.5081299765159679,0.8074195208184325,0.3889421215270027,0.975331392301987,0.18055228313673843,0.7541236858985592,0.8721726811259556,0.9394895999986446,0.06072220489254606,0.511562267928746,0.3825737351822398,0.940992630843197,0.9659415039009787,0.017991843865896192,0.8160231542185812,0.9625659230777457,0.6202223180272459,0.40588832182289636
Pvalue,Mkt-RF,0.5383928327032376,0.4452088378293817,0.8660439286714161,0.9827549547414722,0.6129333863233599,0.8798364684049327,0.9091988946216827,0.7408406980757327,0.647135868657938,0.7285802316636373,0.8593537645327881,0.7620947586880024,0.6241023311221128,0.35991194349028865,0.7873547219465836,0.02908932405795261,0.7284200106572094,0.8047233198040127,0.8194188899965476,0.41918085508544023,0.598797473572285,0.6170050484742535,0.8425661950418586,0.5444255648765534,0.5054672457234355,0.4062336204771325,0.4726154810191132,0.26512135965942696,0.05736073157960433,0.04896631420077768,0.6639125549540281,0.5469763799613954,0.5085144227000292,0.9178212867512061,0.6740096717222923,0.7326121551594633,0.537927055209991,0.37208910034727316,0.5773405049317257,0.9247008782571884,0.374249266638908,0.8010616304661653,0.21568364845780433,0.6908730918828775,0.7746825581918191,0.22798118082916236,0.8876948860804339,0.4503177804543159,0.44961096491929886,0.6938216845591418,0.9103367032976042,0.5333422816877127,0.5236074244003752,0.41988069615859236,0.5170664037014044,0.7386738494708467,0.26781723463672574,0.05790502642140079,0.45134100943889843,0.7980804004256935,0.849346617928496,0.7802570519210128,0.3005926363686859,0.3209657405176607,0.1894311642075684,0.6362756448747976,0.8526613738771611,0.8761721799913489,0.8807859246294479,0.3246908616728731,0.16638262090101205,0.7325748062215891,0.9129772364257098,0.9085276339645871,0.6955312550120993,0.6519719200532725,0.6301176648082281,0.03810474311838783,0.8459130603197513,0.9727080418834215,0.9406807830595149,0.33932750330126205,0.8608639797449258,0.4337466764536716,0.6541465001685249,0.4137700823803516,0.8058746361495845,0.8966597548213123,0.9862850092533761,0.8370994529432579,0.6857094232928035,0.4865812017177862,0.9696403217619313,0.45201537140796477,0.4087253688956848,0.381185294610359,0.6287594077062001,0.8140138751124452,0.5007515073221829,0.347224982925585,0.05448723088355357
