,,Aircraft,Apparel,Automobiles and Trucks,Banking,Banking - Large Cap,Banking - Small Cap,Business Services,Business Services - Large Cap,Business Services - Small Cap,Chemicals,Communication,Computers,Construction,Construction Materials,Consumer Goods,Electrical Equipment,Electronic Equipment,Electronic Equipment - Large Cap,Electronic Equipment - Small Cap,Entertainment,Food Products,Healthcare,Insurance,Insurance - Large Cap,Insurance - Small Cap,Machinery,Machinery - Large Cap,Machinery - Small Cap,Measuring and Control Equipment,Medical Equipment,Personal Services,Petroleum and Natural Gas,Pharmaceutical Products,Precious Metals,"Restaurants, Hotels, Motels",Retail,Retail - Large Cap,Retail - Small Cap,Steel Works Etc,Trading,Trading - Large Cap,Trading - Small Cap,Transportation,Utilities,Utilities - Large Cap,Utilities - Small Cap,Wholesale
Beta,Alpha,0.014800660613093609,0.004826991302893001,0.006186091053554367,0.013113330452475624,0.014753484203877025,0.0035840261085502943,0.006936582509482795,0.008081779174002603,0.00014586844112951004,0.0041294056238631496,0.0029162084677564685,0.00893988668998214,0.014902096682853158,0.008606607543891684,0.003961991435226284,0.01063553712548127,0.007107672851453992,0.007296375158712258,-0.0011071279191650343,0.013103269940037764,0.0005738222168337949,0.008336307888913954,0.007105869990028658,0.007025162986072357,0.0034494259352711304,0.007866207814220415,0.010947528859461484,-0.0012032558320543554,0.00832232819128232,0.004199691742320712,0.006323269094691922,0.0033472748454181894,0.003923693793750347,0.009593498972183603,0.008797388337284752,0.00977848784556851,0.011381648424267383,0.0022340335958556815,0.00569511185491017,0.006060142207835093,0.007260675474078596,0.004199909338157323,0.009942845376031966,0.005270950606256511,0.007329759520958593,0.0018247373071844043,0.007579799647822381
Beta,CMA,0.13785225176988522,0.36585569147431324,-0.28749754248555803,-0.5656486913372959,-0.6652424072438623,0.09482351847998371,0.1234163197815461,0.12926669624846093,0.027126900495575576,0.17654191747224088,-0.09613885444591905,0.024067583234241033,-0.24008976285252775,0.16445970231486473,0.002253429945510449,0.13175050125768673,0.5102716600668422,0.5843336664249456,0.16736841986643963,0.16568384771714892,0.23944397916570448,0.30464606761917795,0.03295001578962584,0.23789327992778447,0.13726455172732238,0.1311655279175663,0.19344043939683045,-0.4568814721254978,0.06711823787819456,0.1749994710882011,0.2705631158383313,-0.10092822446055816,-0.05612032606461506,0.3945589551619085,0.11950946311845209,0.26738337077390384,0.507459105851034,-0.04178687990925494,0.8997509268737338,0.17476825028255513,0.1648191404288928,0.24735520091195795,0.2793558613649175,0.01396562171754677,-0.10537311622432206,0.38560208735175955,0.18920551565192206
Beta,HML,0.36885998082079274,-0.13622829010684184,0.43024860818585653,0.4136770953462836,0.4670560781853339,0.03150997715256393,-0.12485685096054149,-0.13196701401018476,0.03479207295566186,0.05321074552445967,0.015474798624589049,0.12875206089053245,0.2393698232373065,0.09948024418170665,0.1349198417786927,-0.10322595778214683,-0.4145404003030131,-0.4223505255749649,-0.07141761673946538,-0.32329074241078115,-0.13664897772442822,0.03779666052375873,0.030601237326986608,-0.04860471021735234,-0.02414582218399547,0.061366597307105655,0.09208806699462123,0.16531472026595845,0.022555067790710537,-0.06966306759881036,-0.1621727863656945,0.0702941172304759,-0.01263406880043845,-0.5037906584251464,-0.09328673036322095,0.011701014323559716,-0.05304754675151405,0.1983690030099599,-0.2672351087488425,-0.053447525287516603,-0.06983639757200921,-0.22692657126770788,0.08611429567398722,0.04618983407455881,0.08146957504470992,-0.185230160823171,-0.06196778111305308
Beta,Mkt-RF,-0.16608938503550574,0.06026207192601882,0.1168317810526868,-0.05258998536767516,-0.06159285594670126,-0.05599297393932898,0.043789648779941855,0.05589114934509172,0.08282736990666213,0.08016826659089808,-0.030736358611314397,0.03635990655810089,-0.015131855516762632,0.024685627203523516,-0.02179151645480551,0.13281176712801432,0.35539687181227086,0.3452735023597094,0.19522916183966704,0.19321461940696036,0.015000877615392106,-0.003911300116054197,0.05051702174169585,0.19939771341608425,-0.1974381416104466,0.0793384586642159,0.1014289383995917,0.08025077010435402,0.07478425383996537,-0.023974490629418033,-0.008792882169802771,-0.045170629540682614,-0.008318687777461226,0.07682857567130119,-0.049674164070709834,-0.03468818998861547,-0.0550578547515924,-0.02254590413341715,0.1354437284974091,-0.0052516230543531855,0.022120624614140827,-0.013170676423870292,-0.02435859936627795,-0.08773010642286001,-0.10744844384577382,-0.011385292598370868,0.004583925577112333
Beta,RMW,-1.081485356773952,-0.0757192529415579,-0.5209162607462033,0.10218486144959456,0.14979671603903238,-0.23308429629286337,-0.032762368665020025,0.05764935827651934,-0.3720838743730354,-0.32913123982441783,-0.36468860027470323,-0.2249972120210698,-0.3201315823930418,-0.3394307831901176,-0.07841887046300003,-0.42664269651129283,-0.053176181754953256,0.02636900002884191,-0.40464500079995924,-0.5484396096776575,0.056489293278160504,-0.49352357698781435,-0.16599655659204157,-0.06997226366560785,0.06770503230087284,-0.2850195361377983,-0.2996878719991939,-0.26364357347080236,-0.11772800620083354,-0.22914557378421221,0.4796112819013192,-0.047598655034216675,0.14292119487879276,-0.5127824300442501,-0.042653450075665955,-0.3051781603337495,-0.2734351126754654,-0.6367658207285768,-0.410196759909061,-0.30187192463308177,-0.34157971340112714,-0.28335458031428684,-0.3118221141474478,-0.17188681496096214,-0.21475377409245774,0.20339484422992635,-0.21095985006735074
Beta,SMB,-0.07880690091011125,0.15512635894264953,-0.09815159886413298,0.14223444267763283,0.1429063140758086,0.01006625957391144,0.0761920981136915,0.06873958440155219,-0.1735603059409991,-0.010777616430440742,-0.015316987493745746,-0.004597803894861807,-0.22345020716790323,-0.07054203498873537,-0.08012684529319161,0.02766839142328826,-0.032950480811064525,-0.0027914113636751947,-0.2930162595192792,-0.08961494615044055,4.149213466121682e-05,-0.3629364101077108,-0.16590445573095755,-0.14138812699816958,0.1028188887848729,-0.12602062072735407,-0.18060599510501443,0.03750614226086439,0.0019899264270228922,-0.010046784035525455,0.20687210624978758,0.0024454039652550413,0.10703042583384652,0.3329755320178749,-0.006516258740432747,-0.0373116924833787,-0.02611443220712814,-0.10812489990762543,0.02374485134743386,-0.023134543799855113,-0.0011887073287085576,-0.12999128156795992,0.08880408566528808,-0.04093105301593982,-0.08471380267526114,0.10481423838771403,-0.09113871946329388
Pvalue,Alpha,0.08581532342213742,0.3901864812196578,0.35585100659069324,0.13465772168003745,0.1252604636067218,0.49892010823685196,0.09682315134942146,0.058632724054603305,0.9770497255208761,0.4616002937674184,0.44064406811289736,0.05748815629587455,0.018334819810031364,0.12120859796965554,0.23419762208699416,0.10822598992581675,0.3432079670084127,0.3443364611254228,0.8443332704925374,0.1940579900636248,0.8475512827806155,0.05749828875728675,0.14423341283822022,0.19138872834509849,0.5350724231334878,0.16021184881018494,0.054112261202776464,0.8969259818250437,0.0703774349961034,0.2706630950503431,0.3394955456138724,0.6056726587824443,0.2551194863561492,0.24597575781207554,0.03502739937480161,0.05014615175814327,0.02761955812344512,0.7676098509879429,0.4841521734857236,0.19731098832162305,0.13084246071334274,0.569533488176887,0.05668281313528922,0.1614335581661054,0.12449123460322165,0.6268481207028436,0.044569809972747176
Pvalue,CMA,0.7956440630906589,0.29366905419058476,0.4886345963891744,0.2972502261672,0.2641930870095123,0.7728032221440669,0.6326563152631441,0.6242567711339769,0.9312299849334891,0.6115331152304075,0.6816076564135055,0.9339724996392356,0.5373509665624108,0.6319962127845946,0.9912771846535051,0.747519853520904,0.2725294683212806,0.22218629904138115,0.632146173939463,0.7907059876278675,0.19653695316955172,0.2614866467763457,0.9128074316445492,0.4748144719577294,0.6904347231509586,0.7050141039912747,0.5815090297905476,0.42784957325483164,0.8131963238524325,0.45869424684715754,0.5094856058263026,0.8016905928488715,0.7925960198040314,0.4410746251664074,0.6424495125190572,0.3858649107146165,0.11215836107784906,0.9289486277512071,0.07551634522426263,0.5480501081436202,0.579226652216279,0.5889644468809461,0.3861134037996119,0.9521666215431495,0.7209503942244494,0.09847514872000591,0.4167487724873902
Pvalue,HML,0.2682351118272242,0.5312598350861321,0.09823409904691528,0.22285483945779447,0.20997973603678075,0.8780068061435808,0.43935152296223035,0.4239272458496217,0.859455366410699,0.8064880035252349,0.9158443453222043,0.47855391138887704,0.3255263223518865,0.6430285402806295,0.2956368492730239,0.6865995521513426,0.15424874274910552,0.15832079851914674,0.7437864911136294,0.4077477812605772,0.23818909027027835,0.8233799935024928,0.87076404037119,0.8151965046043341,0.9107442661400282,0.7768932621499696,0.6745977300845613,0.6460893169817628,0.8989019991964378,0.6368619234399833,0.5270159672547996,0.7795943259561217,0.9245468983885805,0.11637659156575195,0.562115135182826,0.9515479009623555,0.7898931507476132,0.4985119319158754,0.3970034476951594,0.7687684296231565,0.7069434393416573,0.4279321024020649,0.6688635544080284,0.7509658572770285,0.6586515069971186,0.20355739819093988,0.6702939049137919
Pvalue,Mkt-RF,0.3946969298639953,0.636453654471423,0.44243977233791265,0.7911137273865291,0.7774916611021525,0.6417123705202428,0.6433846693921772,0.5632191744945134,0.4722358942607906,0.5290389833948287,0.7202881189463126,0.7326371210934042,0.9154480049726912,0.844391813352557,0.7729091663474665,0.3760982179383686,0.03767188028890421,0.049591646702068524,0.12838205850049805,0.39855676294332143,0.8248641134157719,0.968560977182571,0.6468396900528928,0.10288924422659047,0.11887064807263449,0.5320469688688059,0.4303288449765956,0.7036551358905199,0.4725462270433577,0.7815727871647928,0.9533112014090864,0.7589685823756289,0.9152631502881605,0.6820270668614814,0.5983700093725248,0.7585918142605821,0.637079592639366,0.8955155306297851,0.46377907466872237,0.9606852511301941,0.8389622028477293,0.93737876242424,0.8364255578699377,0.3042508598711505,0.3205963137500685,0.8937140836785783,0.9571353684771755
